Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PD44815a_vs_PD44815b__pv	1264	1723	1945	3157	979	1441	1057	787	1643
PD44816a_vs_PD44816b__pv	2390	1027	1702	1715	4253	3276	678	168	746
PD44817a_vs_PD44817b__pv	3073	0	87	1800	919	4428	662	345	1269
PD44818a_vs_PD44818b__pv	2401	7044	5380	1763	1638	1939	687	1076	746
PD44819a_vs_PD44819b__pv	4069	15698	16051	3715	2789	4083	1232	4503	1307
PD44820a_vs_PD44820b__pv	1471	1420	1424	1623	2382	2406	801	265	833
PD44821a_vs_PD44821b__pv	2806	4246	4453	1779	2650	3046	674	1213	1176
PD44823a_vs_PD44823b__pv	1541	499	936	1630	1461	1309	596	522	912
PD44824a_vs_PD44824b__pv	1558	4164	2596	3069	4452	3273	959	1306	2244
PD44825a_vs_PD44825b__pv	869	8057	1945	11654	27238	2677	62230	3189	3173
PD44826a_vs_PD44826b__pv	2596	1929	2024	2178	3092	3486	1040	952	1169
PD44827a_vs_PD44827b__pv	1196	1128	1235	2089	1263	2180	1575	430	773
PD44828a_vs_PD44828b__pv	1409	7849	8635	1385	3363	3469	936	3638	629
PD44829a_vs_PD44829b__pv	4522	1582	4098	6524	6299	8897	1625	1241	1653
PD44830a_vs_PD44830b__pv	1850	2234	3501	1375	3887	7128	618	539	828
PD44831a_vs_PD44831b__pv	3262	13659	17822	120	1961	540	2116	13368	1670
PD44832a_vs_PD44832b__pv	0	4745	0	0	18610	4713	47255	0	2380
PD44833a_vs_PD44833b__pv	1228	12297	12372	2932	1529	2748	1054	6937	437
PD44834a_vs_PD44834b__pv	2272	1913	1643	3607	1859	1146	818	1138	1442
PD44835a_vs_PD44835b__pv	1382	1216	2317	2327	1230	4538	777	379	1631
PD44836a_vs_PD44836b__pv	4020	3212	1784	5431	5339	3372	2136	1301	1521
PD44837a_vs_PD44837b__pv	1167	522	800	349	874	1081	0	228	252
PD44838a_vs_PD44838b__pv	4421	381	847	5427	4093	4583	394	854	2321
PD44839a_vs_PD44839b__pv	744	1465	384	3536	2760	1437	905	204	2471
PD44840a_vs_PD44840b__pv	1864	3743	3258	2165	2080	1984	807	1694	541
PD44841a_vs_PD44841b__pv	6093	6366	6932	4465	17464	1346	48974	3468	1010
PD44842a_vs_PD44842b__pv	1282	575	100	917	1933	1917	478	782	853
PD44843a_vs_PD44843b__pv	2573	10331	3271	5121	4165	3798	940	2828	1807
PD44844a_vs_PD44844b__pv	1417	301	268	1440	2119	2825	370	0	651
PD44845a_vs_PD44845b__pv	4191	1177	2854	0	2843	3865	0	953	1302
PD44846a_vs_PD44846b__pv	1295	1147	7220	986	1441	2522	943	3371	275
PD44847a_vs_PD44847b__pv	1593	2511	2222	2200	3327	1866	429	377	648
PD44848a_vs_PD44848b__pv	5298	14320	6827	9562	2336	2983	3399	2463	3899
PD44849a_vs_PD44849b__pv	4085	463	492	2023	2999	5623	1299	697	1767
PD44850a_vs_PD44850b__pv	1898	7674	2818	3158	4404	1835	734	2860	1030
PD44851a_vs_PD44851b__pv	1346	1878	2393	1891	2953	1945	928	773	2336
PD44852a_vs_PD44852b__pv	2521	3312	2326	5882	3293	2739	1137	1098	616
PD44853a_vs_PD44853b__pv	1419	2152	1787	359	2880	4068	550	785	480
PD44854a_vs_PD44854b__pv	1885	2183	1966	2645	2678	2598	688	1567	1475
PD44855a_vs_PD44855b__pv	2205	1884	4692	2253	2168	3331	811	364	926
PD44856a_vs_PD44856b__pv	3649	7723	12183	693	3200	2363	341	3652	713
PD44857a_vs_PD44857b__pv	1100	13506	11712	2593	1940	1487	1226	3441	530
PD44859a_vs_PD44859b__pv	567	7458	4204	3836	6690	766	27321	4021	1772
PD44861a_vs_PD44861b__pv	3514	2679	2804	2492	2023	3660	1415	2665	1374
PD44862a_vs_PD44862b__pv	2745	2139	202	2458	890	355	755	1888	5698
PD44863a_vs_PD44863b__pv	2256	5315	4253	370	2790	4276	215	103	2333
PD44864a_vs_PD44864b__pv	3227	6543	6296	1521	1683	2134	538	1403	1522
PD44904a_vs_PD44904b__pv	4658	7479	10445	8827	2405	3261	1931	6501	465
PD44905a_vs_PD44905b__pv	3614	855	842	4734	1644	1466	1072	1326	2517
PD44906a_vs_PD44906b__pv	1770	1971	1293	2948	1146	1433	681	2424	519
PD44908a_vs_PD44908b__pv	2191	7682	4645	2722	2414	1325	1019	1397	867
PD44909a_vs_PD44909b__pv	1440	172	422	724	3042	2427	0	16	126
PD44910a_vs_PD44910b__pv	1437	2863	4507	1877	3348	4117	1064	2168	1115
PD44912a_vs_PD44912b__pv	4426	12949	24711	3481	2186	4160	1492	0	2563
PD44913a_vs_PD44913b__pv	2113	1293	710	3888	1777	2110	748	1046	669
PD44914a_vs_PD44914b__pv	3511	2309	1035	6591	1834	1889	1345	163	2058
PD44915a_vs_PD44915b__pv	1237	3412	2022	1828	1289	3185	551	875	706
PD44916a_vs_PD44916b__pv	1552	728	696	2596	2107	1428	294	238	1220
PD44917a_vs_PD44917b__pv	781	50	59	930	549	505	107	11	518
PD44918a_vs_PD44918b__pv	1870	3523	2948	387	2196	2313	298	1504	1275
PD44919a_vs_PD44919b__pv	1907	1146	6200	572	2402	1904	221	2325	595
PD44920a_vs_PD44920b__pv	1072	5297	6986	1967	1426	1317	890	3637	490
PD44921a_vs_PD44921b__pv	561	1265	891	1318	826	415	290	583	228
PD44922a_vs_PD44922b__pv	3151	18742	22326	3303	936	2923	632	18323	2564
PD44923a_vs_PD44923b__pv	8741	1714	2648	6556	3810	5238	1332	919	3155
PD44924a_vs_PD44924b__pv	1856	765	613	2196	4520	2287	93	263	812
PD44925a_vs_PD44925b__pv	3319	2498	2798	3592	1810	6431	1407	1679	1777
PD44926a_vs_PD44926b__pv	2038	774	942	1197	3535	2845	299	102	573
PD44927a_vs_PD44927b__pv	1107	4588	7039	1304	2641	2238	858	2647	871
PD44928a_vs_PD44928b__pv	2125	1422	3912	1555	3739	4713	909	1145	384
PD44929a_vs_PD44929b__pv	1536	3539	5781	2213	2768	1806	795	3124	873
PD44930a_vs_PD44930b__pv	44	10322	2655	9999	2004	2415	1834	1919	4084
PD44931a_vs_PD44931b__pv	0	14063	5294	11	14615	1715	54166	7785	466
PD44932a_vs_PD44932b__pv	1574	2272	8840	1543	1808	2610	697	1917	332
PD44933a_vs_PD44933b__pv	1313	32	110	1610	1292	163	296	0	4402
PD44934a_vs_PD44934b__pv	2357	10878	39774	663	1537	3005	1998	8490	1211
PD44935a_vs_PD44935b__pv	2443	1013	1296	3361	1492	3599	1214	911	823
PD44936a_vs_PD44936b__pv	900	1044	767	1315	1591	740	494	484	380
PD44937a_vs_PD44937b__pv	3770	4475	3041	4365	3090	2995	687	1731	2908
PD44938a_vs_PD44938b__pv	3067	3431	4209	2535	1397	2678	1796	2915	501
PD44939a_vs_PD44939b__pv	2377	928	1441	2271	3172	3259	669	820	1338
PD44941a_vs_PD44941b__pv	2486	650	1101	3283	2321	3070	445	415	716
PD44942a_vs_PD44942b__pv	1911	2759	4254	1065	3140	2560	303	1345	482
PD44943a_vs_PD44943b__pv	1112	256	305	1890	1570	1990	699	353	197
PD44944a_vs_PD44944b__pv	2015	1983	3649	2356	2252	3019	1243	1514	501
PD44945a_vs_PD44945b__pv	493	14676	13574	3626	1322	3237	900	5300	1269
PD44946a_vs_PD44946b__pv	1659	2696	2330	2962	2718	2365	284	585	759
PD44947a_vs_PD44947b__pv	502	273	432	747	616	814	129	360	271
PD44948a_vs_PD44948b__pv	2084	7918	5496	2126	1935	1464	673	2002	4368
PD44949a_vs_PD44949b__pv	2296	1844	2538	0	2602	1727	135	1222	2771
PD44950a_vs_PD44950b__pv	402	369	695	777	859	1491	246	277	339
PD46225a_vs_PD46225b__pv	2245	2997	2164	2167	3541	5129	687	445	2186
PD46226a_vs_PD46226b__pv	1998	291	2063	3691	5229	3145	937	349	1850
PD46227a_vs_PD46227b__pv	1717	19389	2618	17675	729	730	3348	1892	1812
PD46228a_vs_PD46228b__pv	1324	4987	8254	398	2676	4812	182	524	681
PD46229a_vs_PD46229b__pv	1902	11883	8977	3658	2558	3355	1446	2199	1483
PD46230a_vs_PD46230b__pv	590	1559	2219	3342	2025	3167	1277	1121	6262
PD46231a_vs_PD46231b__pv	1032	38	214	1061	1082	1178	265	187	1238
PD46232a_vs_PD46232b__pv	2525	1700	2119	1544	1854	2499	112	976	777
PD46233a_vs_PD46233b__pv	2450	6265	1380	9612	2441	1856	1808	3908	1970
PD46234a_vs_PD46234b__pv	1902	69	96	1680	1057	1652	818	339	652
PD46235a_vs_PD46235b__pv	2286	2338	4365	1705	5248	3354	447	501	1403
PD46236a_vs_PD46236b__pv	1922	1269	1758	2296	3842	4536	563	777	515
PD46237a_vs_PD46237b__pv	3868	2971	14571	6032	3219	3317	1625	2781	1110
PD46238a_vs_PD46238b__pv	2841	708	1449	6339	0	1933	1183	852	863
PD46239a_vs_PD46239b__pv	1470	2220	2367	1568	2326	1793	658	1006	664
PD46240a_vs_PD46240b__pv	2122	638	663	1864	1614	1245	712	130	344
PD46241a_vs_PD46241b__pv	2278	7481	14646	4956	5158	4774	992	4082	892
PD46242a_vs_PD46242b__pv	3809	70342	3932	4311	1279	1892	2513	3758	4849
PD46243a_vs_PD46243b__pv	3334	862	753	2362	3385	2255	1190	1023	2642
PD46244a_vs_PD46244b__pv	2444	129	158	0	3551	2981	0	46	457
PD46245a_vs_PD46245b__pv	934	110	0	7318	1334	3521	808	652	1956
PD46246a_vs_PD46246b__pv	2954	5187	1764	8599	3501	2473	1880	2904	2095
PD46247a_vs_PD46247b__pv	3588	4037	1424	2261	6386	2692	464	1620	1360
PD46248a_vs_PD46248b__pv	1881	10385	16174	74	2271	1810	1305	8132	530
PD46249a_vs_PD46249b__pv	1966	7533	10767	1168	3965	4847	1130	6216	151
PD46250a_vs_PD46250b__pv	1185	42	251	3940	564	572	770	13	3496
PD46251a_vs_PD46251b__pv	1896	604	430	0	10740	1704	27532	325	256
PD46252a_vs_PD46252b__pv	0	2628	792	0	1325	28491	256	0	610
PD46253a_vs_PD46253b__pv	5321	7940	4849	1155	4336	3181	503	1022	2194
PD46254a_vs_PD46254b__pv	3296	4565	4881	397	2539	2827	238	2173	900
PD46255a_vs_PD46255b__pv	2178	455	627	949	3565	2892	28	1593	1091
PD46256a_vs_PD46256b__pv	1738	3922	899	1801	3160	1526	831	283	439
PD46257a_vs_PD46257b__pv	1411	90	156	680	4011	2782	369	23	545
PD46258a_vs_PD46258b__pv	2515	2953	3773	2770	1641	2845	689	1453	1270
PD46259a_vs_PD46259b__pv	3053	2336	1851	3238	1291	1860	729	1586	1778
PD46260a_vs_PD46260b__pv	1085	319	232	1686	1488	1696	820	273	3593
PD46261a_vs_PD46261b__pv	1196	358	396	1398	1458	1260	530	385	532
PD46262a_vs_PD46262b__pv	713	707	666	1356	1181	759	186	72	866
PD46263a_vs_PD46263b__pv	1779	1989	5044	0	1185	3875	146	1664	194
PD46264a_vs_PD46264b__pv	2249	2576	2875	2305	835	2465	585	1191	1335
PD46265a_vs_PD46265b__pv	2239	5399	5670	1588	2867	2682	724	2177	1170
PD46267a_vs_PD46267b__pv	68	10	6	260	72	36	56	46	48
PD46268a_vs_PD46268b__pv	1162	61	1927	2218	2162	2303	832	700	898
SLX-16751	686	1421	1748	721	1339	1054	168	448	226
SLX-16752	731	9880	4447	1032	1223	993	274	4752	0
SLX-18929	104445	139455	131926	89249	80520	113549	37325	62624	44687
SLX-18949	1576	14421	14421	1453	2794	2818	911	7744	286
SLX-18950	858	197	592	514	573	514	225	75	76
SM-4AX82_vs_SM-4AWN8__pv	2576	1576	2250	2853	2929	4516	368	659	373
SM-4AX83_vs_SM-4AWN9__pv	1012	525	1383	1264	539	976	300	661	637
SM-4AX84_vs_SM-4AWNA__pv	1306	6675	7839	1060	2383	3990	660	3714	423
SM-4AX85_vs_SM-4AWNB__pv	3894	391	227	2061	2724	3274	1151	507	1151
SM-4AX86_vs_SM-4AWNC__pv	3032	4236	4005	1707	1508	2500	265	1130	1765
SM-4AX87_vs_SM-4AWND__pv	932	173	36	511	940	2001	53	162	162
SM-4B295_vs_SM-4AWNE__pv	4105	5864	7002	4351	1950	2708	619	1777	1584
SM-4B296_vs_SM-4AWNF__pv	5112	7610	6962	11115	916	2547	2422	3504	7340
SM-4JPP6_vs_SM-4JPUS__pv	2753	1043	1597	4732	1918	5806	1014	607	924
SM-4JPP7_vs_SM-4JPUT__pv	1075	1068	922	2366	1770	1111	644	876	1060
SM-4JPP9_vs_SM-4JPUT__pv	1010	1068	1074	2268	1687	1045	577	921	989
SM-4JPPA_vs_LP6005333-DNA_B01__pv	6805	1874	2421	897	6060	7677	433	1449	2106
SM-4JPPB_vs_LP6005333-DNA_B01__pv	6917	1913	1913	607	6012	7669	392	1317	2132
SM-4JPPC_vs_LP6005333-DNA_B01__pv	6837	1821	2599	719	6098	7690	431	1464	2133
SM-4JPUV_vs_SM-4JPUS__pv	788	173	105	1310	914	960	326	271	266
SM-4JPUW_vs_SM-4JPUS__pv	6	0	2	78	13	4	24	20	3
SM-4JPUX_vs_SM-4JPUT__pv	1692	475	551	2129	1420	943	209	549	723
SM-4JPUY_vs_LP6005333-DNA_B01__pv	6788	2611	3608	825	6060	7833	523	2307	2076
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	6733	2489	3586	902	5532	7583	423	2235	2025
SM-4JPV1_vs_SM-4JPUS__pv	2589	1040	1320	4029	1716	4906	783	417	792
SM-4JPV2_vs_SM-4JPUS__pv	2806	1539	1873	4480	1950	5866	928	631	903
SS6003109_vs_SS6003108__pv	1390	3414	5494	4040	1361	2179	583	1403	3550
SS6003111_vs_SS6003110__pv	2751	2678	2664	4300	3625	4487	764	1938	1161
SS6003113_vs_SS6003112__pv	721	7246	3142	1232	1816	2319	20	588	381
SS6003115_vs_SS6003114__pv	1442	8012	9138	1631	1866	2814	373	5209	780
SS6003117_vs_SS6003116__pv	1126	0	113	0	1944	1133	0	93	6427
SS6003119_vs_SS6003118__pv	1233	174	193	1773	1164	1069	376	276	323
SS6003121_vs_SS6003120__pv	362	29526	0	3986	2758	1575	823	8384	1434
SS6003125_vs_SS6003124__pv	994	4980	5401	2448	1662	2496	354	511	634
SS6003129_vs_SS6003128__pv	3941	6127	6668	2514	4047	4551	537	3338	1502
SS6003131_vs_SS6003130__pv	1481	163	363	845	1834	1932	119	295	456
SS6003133_vs_SS6003132__pv	1520	164	488	0	1483	8019	0	0	3521
SS6003135_vs_SS6003134__pv	961	8671	16576	1475	1359	1564	813	3203	1142
SS6003137_vs_SS6003136__pv	1803	1218	1650	1896	2565	3910	714	405	244
SS6003149_vs_SS6003148__pv	1033	17854	22887	3529	2177	1175	1595	16858	3671
SS6003302_vs_SS6003301__pv	1818	3195	2997	2987	1930	2823	878	811	1061
SS6003303_vs_SS6003301__pv	1157	2295	2049	2117	1418	2104	414	420	808
SS6003305_vs_SS6003304__pv	1955	111	358	5096	1401	1615	525	276	1751
SS6003306_vs_SS6003304__pv	1402	251	333	2972	1293	1026	360	87	1003
SS6003308_vs_SS6003307__pv	2271	532	790	514	1712	1477	0	373	1099
SS6003309_vs_SS6003307__pv	2890	509	949	935	2036	2021	0	413	1558
SS6003311_vs_SS6003310__pv	2105	186	163	90	2515	14314	1318	217	326
SS6003312_vs_SS6003310__pv	1182	164	0	0	2245	13758	1578	141	265
SS6003314_vs_SS6003313__pv	1387	4358	5534	1285	1220	1437	619	2879	1530
SS6003315_vs_SS6003313__pv	1272	4404	5528	1333	1231	1401	660	2953	1538
SS6003317_vs_SS6003316__pv	2387	8827	15724	316	1986	2718	356	5009	632
SS6003318_vs_SS6003316__pv	2543	8918	15635	418	2015	2754	363	5074	664
SS6003320_vs_SS6003319__pv	1389	6172	5915	3218	3466	2258	1120	1455	1278
SS6003321_vs_SS6003319__pv	1221	5922	5735	3146	3154	2200	1088	1421	1048
SS6003323_vs_SS6003322__pv	2668	794	5316	713	2938	2414	518	3259	983
SS6003324_vs_SS6003322__pv	2613	701	3858	1141	2604	2046	216	2149	915
