Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PD46242a_vs_PD46242b__pv	6351	474	695	79698	2208	1646	5613
PD46243a_vs_PD46243b__pv	1478	4108	4614	741	2464	1199	3202
PD46244a_vs_PD46244b__pv	370	1314	4633	0	2950	91	408
PD46245a_vs_PD46245b__pv	0	6585	1474	360	5138	168	2908
PD46246a_vs_PD46246b__pv	2965	9320	4360	6127	3817	1651	3117
PD46247a_vs_PD46247b__pv	2787	3632	8241	4195	2705	797	1475
PD46248a_vs_PD46248b__pv	27113	1845	3142	6371	1890	1374	827
PD46249a_vs_PD46249b__pv	18397	2515	4988	4966	5408	1078	391
PD46250a_vs_PD46250b__pv	0	3664	806	271	1065	618	4409
PD46251a_vs_PD46251b__pv	162	0	11834	916	1581	28953	41
PD46252a_vs_PD46252b__pv	0	0	0	3051	29769	0	1282
PD46253a_vs_PD46253b__pv	7104	3695	6039	7687	3128	408	2440
PD46254a_vs_PD46254b__pv	7978	2527	3555	3545	2897	205	1109
PD46255a_vs_PD46255b__pv	1852	2315	4641	71	3014	168	1317
PD46256a_vs_PD46256b__pv	1100	2046	3941	4508	1703	859	442
PD46257a_vs_PD46257b__pv	161	939	4990	130	2891	489	467
PD46258a_vs_PD46258b__pv	5641	3980	2248	2464	3443	407	1726
PD46259a_vs_PD46259b__pv	3128	5072	1945	2207	2358	573	2439
PD46260a_vs_PD46260b__pv	300	1707	1943	392	1891	713	4246
PD46261a_vs_PD46261b__pv	592	1977	1847	384	1488	527	698
PD46262a_vs_PD46262b__pv	773	1301	1538	793	948	117	1036
PD46263a_vs_PD46263b__pv	7830	1254	1590	652	4209	0	341
PD46264a_vs_PD46264b__pv	4332	3520	1250	2225	2984	290	1815
PD46265a_vs_PD46265b__pv	8825	2401	3741	4562	2998	588	1401
PD46267a_vs_PD46267b__pv	0	280	87	31	76	52	76
PD46268a_vs_PD46268b__pv	2386	2560	2659	0	2781	731	1146
SLX-16751	2538	823	1685	1215	1189	124	237
SLX-16752	8902	1623	1445	9601	1165	375	221
SLX-18929	205137	144768	105994	124584	131978	31242	60077
SLX-18949	24237	2192	3536	11818	3246	821	574
SLX-18950	773	1039	772	112	584	228	116
SM-4AX82_vs_SM-4AWN8__pv	3020	3990	3662	1455	5278	94	601
SM-4AX83_vs_SM-4AWN9__pv	2138	1834	760	250	1213	224	878
SM-4AX84_vs_SM-4AWNA__pv	12766	1599	2917	5181	4522	439	626
SM-4AX85_vs_SM-4AWNB__pv	407	4593	3610	425	3604	1199	1542
SM-4AX86_vs_SM-4AWNC__pv	5915	3209	2211	3766	2787	70	2190
SM-4AX87_vs_SM-4AWND__pv	76	1078	1154	198	2210	0	254
SM-4B295_vs_SM-4AWNE__pv	9939	6260	2842	5142	3441	201	2135
SM-4B296_vs_SM-4AWNF__pv	10091	12786	1530	7616	4187	1739	9579
SM-4JPP6_vs_SM-4JPUS__pv	1741	6041	2330	1259	7124	384	1515
SM-4JPP7_vs_SM-4JPUT__pv	1480	2585	2237	1124	1455	633	1378
SM-4JPP9_vs_SM-4JPUT__pv	1733	2474	2138	1065	1375	564	1290
SM-4JPPA_vs_LP6005333-DNA_B01__pv	4295	5302	8250	1084	7954	302	2535
SM-4JPPB_vs_LP6005333-DNA_B01__pv	3580	5155	8191	1233	7871	292	2550
SM-4JPPC_vs_LP6005333-DNA_B01__pv	4572	5177	8301	952	7928	314	2548
SM-4JPUV_vs_SM-4JPUS__pv	120	1678	1156	272	1209	277	401
SM-4JPUW_vs_SM-4JPUS__pv	7	83	13	0	17	21	9
SM-4JPUX_vs_SM-4JPUT__pv	819	3031	1910	527	1209	206	989
SM-4JPUY_vs_LP6005333-DNA_B01__pv	6443	5371	8272	1460	8145	392	2548
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	6345	5482	7622	1352	7913	271	2523
SM-4JPV1_vs_SM-4JPUS__pv	1370	5294	2120	1271	5992	260	1285
SM-4JPV2_vs_SM-4JPUS__pv	2165	5793	2389	1730	7137	297	1465
SS6003109_vs_SS6003108__pv	7812	3537	1795	2767	2871	240	4392
SS6003111_vs_SS6003110__pv	4238	5388	4549	2548	5433	542	1670
SS6003113_vs_SS6003112__pv	4286	426	2033	7694	2636	0	390
SS6003115_vs_SS6003114__pv	15491	2460	2418	6176	3295	238	1187
SS6003117_vs_SS6003116__pv	179	0	2842	0	655	0	7160
SS6003119_vs_SS6003118__pv	197	2371	1537	287	1376	313	500
SS6003121_vs_SS6003120__pv	4330	2760	2680	33633	1993	1159	2293
SS6003125_vs_SS6003124__pv	7126	1801	1996	4699	3115	0	743
SS6003129_vs_SS6003128__pv	10840	4615	5430	4976	5084	336	1944
SS6003131_vs_SS6003130__pv	603	1635	2380	93	2107	108	562
SS6003133_vs_SS6003132__pv	658	0	1719	0	8569	0	4249
SS6003135_vs_SS6003134__pv	24062	761	1905	5540	2008	287	1201
SS6003137_vs_SS6003136__pv	2172	2587	3134	1141	4506	492	373
SS6003149_vs_SS6003148__pv	41688	5149	3080	12143	1652	1806	5261
SS6003302_vs_SS6003301__pv	4075	3399	2407	3164	3480	576	1399
SS6003303_vs_SS6003301__pv	2686	2213	1742	2332	2583	191	1035
SS6003305_vs_SS6003304__pv	0	5544	1878	511	2472	245	2438
SS6003306_vs_SS6003304__pv	94	3331	1689	525	1477	257	1354
SS6003308_vs_SS6003307__pv	1324	1948	2434	304	1456	13	1289
SS6003309_vs_SS6003307__pv	1528	2696	2912	250	2064	0	1861
SS6003311_vs_SS6003310__pv	176	1604	2470	114	15732	386	752
SS6003312_vs_SS6003310__pv	0	744	2019	90	15194	639	647
SS6003314_vs_SS6003313__pv	9196	1972	1695	3209	1662	556	1959
SS6003315_vs_SS6003313__pv	9236	1920	1691	3262	1635	601	1975
SS6003317_vs_SS6003316__pv	24360	1584	2951	5303	2994	5	758
SS6003318_vs_SS6003316__pv	24270	1819	3009	5423	3037	12	814
SS6003320_vs_SS6003319__pv	8396	2565	4266	5876	2790	919	1459
SS6003321_vs_SS6003319__pv	8137	2466	3858	5633	2757	871	1213
SS6003323_vs_SS6003322__pv	7988	3205	3900	0	2453	778	1279
SS6003324_vs_SS6003322__pv	5881	3173	3516	0	2143	359	1171
