Samples	SBS96A	SBS96B	SBS96C	SBS96D
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	41901	5017	9001	7276
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	93145	0	8125	18957
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	4269	1394	2189	1867
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	3489	2864	4918	5058
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	2871	2749	4270	2327
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	10262	5940	4835	4734
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1793	3450	2527	4685
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	2577	4140	6500	4326
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	25961	2805	9530	5192
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	1443	2524	2249	5231
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	330	1433	918	1890
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	1197	2746	2645	7663
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	10538	2131	6661	6587
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	21009	3792	6422	3638
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	1168	1954	3548	2986
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1379	1551	3408	1734
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	843	837	6067	1145
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	15544	2658	4058	4853
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	7554	3145	1404	6442
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	7127	5172	11554	6886
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	4676	3130	3378	7928
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	2451	2597	3108	3512
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	1786	902	2166	1615
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	19360	1996	4599	5592
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	6931	1787	8068	3470
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	7018	3406	3211	4491
LP6007591_vs_LP6007590__pv	35402	5001	10351	7557
LP6007592_vs_LP6007590__pv	2696	3167	1590	3900
LP6007594_vs_LP6007593__pv	1172	6205	2334	7604
LP6007595_vs_LP6007593__pv	4598	2423	843	4454
LP6007597_vs_LP6007596__pv	19165	7249	5114	6409
LP6007598_vs_LP6007596__pv	5931	2125	1379	2852
LP6007600_vs_LP6007599__pv	204	2349	1570	1844
LP6007602_vs_LP6007601__pv	59414	0	3483	2066
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	32480	2541	1765	5359
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	50110	3073	1451	5484
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	36078	2695	2998	8509
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	9136	3575	12400	4631
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	43406	2343	1430	5312
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	31822	2067	1677	4914
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	36587	2995	3159	8841
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	4994	1723	2794	2716
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	57004	1657	1460	6160
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	35367	2405	2816	8393
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	36347	2689	2969	8472
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	7	63	51	14
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	45947	2118	1445	5790
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	36625	2862	3608	9029
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	9357	4115	7511	5281
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	54138	1979	1686	6056
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	36901	2677	4202	9655
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	9257	3550	5966	5165
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	35929	2142	1845	6254
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	38071	2799	3500	8987
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	6623	1816	5535	3007
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	36964	2603	1800	5505
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	40964	2875	4585	9759
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	9185	3378	8479	5619
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	47328	1861	1623	5979
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	36365	2480	3709	9351
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	10555	3776	12450	4558
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	5275	2713	13436	4300
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	5428	3670	10791	11537
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1620	2268	2839	5242
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	20238	3169	4075	3813
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	5089	2483	2509	2448
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	1757	1741	2352	11447
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	433	3041	3056	4320
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	454	1203	1049	2202
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	12715	5581	5460	8774
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	7252	4562	2607	7803
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	105	0	76
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	5177	1798	4264	3997
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	10239	3682	2550	4707
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	1201	2159	6673	5774
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	8832	45152	4189	8067
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	13516	1890	4031	11847
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	14574	72721	3340	4330
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	6036	2666	2591	6136
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	4516	1951	1842	1119
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	20001	7134	6652	7112
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	9997	2699	3932	3693
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	2677	3315	5782	4685
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	10868	3798	14952	8822
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	8409	6036	3333	5216
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	2085	39454	2084	7210
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	34233	38255	0	5004
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	33	1374	4261	2881
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	4359	3127	2893	3441
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	40740	552	6668	5222
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	13284	3194	4393	2031
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	7065	4206	3846	8750
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	39022	466	6294	4716
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	9851	4576	4004	5300
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	8536	3201	5700	2799
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	40964	1369	7436	5335
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	8731	5248	3928	9954
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	38429	0	5679	5993
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	6256	5093	4750	4309
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	4702	2351	4176	12430
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	39159	427	5613	5069
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	7063	4662	3342	5707
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	3233	5223	12950	7149
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	38770	629	5475	4731
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	4422	1614	9456	1296
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	372	1503	887	2410
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	39850	944	6462	5226
