Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	6033	8287	2746	1549	1240	2109	2705	1237
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	21353	2188	9575	835	4865	1548	238	5616
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	1395	2890	1033	2255	1986	2424	806	488
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	6649	7297	1154	1668	3359	2785	791	1841
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	6871	7482	1219	1648	2769	2733	849	1771
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	38468	3328	20738	0	3735	1759	578	10037
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	250	1258	120	669	516	332	133	77
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	4299	2424	1153	4730	1085	5468	1023	1100
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	21827	3690	14042	299	3093	936	194	2043
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	5994	3636	4391	1976	3098	4134	820	1030
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	14088	622	8810	2598	6384	3013	240	1560
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	28	4007	332	1109	470	770	722	1496
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	19403	2045	19794	2943	9978	4918	1275	2839
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	13798	12229	69021	929	7935	12765	2130	1420
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	2815	1341	1295	1012	1220	1231	161	644
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	2298	2005	1271	3226	1635	3379	312	2203
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	1946	2505	739	1961	1794	1486	359	1427
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	6497	3085	3951	5015	2234	2474	721	1794
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1385	3355	383	2876	748	2757	434	517
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	1231	6844	1097	2615	495	2621	946	1694
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	13452	5141	9698	498	8117	4178	356	2048
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	1042	2643	390	2297	535	3310	630	600
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	139	1109	147	1253	396	1122	184	221
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	431	2916	617	3120	1092	4917	415	743
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	5945	400	4403	2829	4263	4792	178	3107
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	7972	5929	11659	2529	2253	1919	815	1785
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	943	1930	272	1825	673	2018	483	1512
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1461	1366	18	1237	834	1248	421	1487
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	921	2194	155	947	10	1013	431	3221
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	11593	1610	3999	1873	2559	3349	740	1390
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	3921	1870	3724	3672	537	3856	455	510
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	4492	10357	2402	3498	493	4498	1319	3680
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	1975	2949	2397	3458	1564	5149	545	1075
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	846	536	1731	3302	1084	2167	226	1776
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	1186	384	581	814	975	1201	305	1023
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	10642	1650	9551	2904	0	3412	891	2497
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	3399	4120	3361	1628	1340	2539	525	3344
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	3921	3767	3202	3109	0	2514	614	999
LP6007591_vs_LP6007590__pv	9920	0	24282	6255	8154	4171	372	5157
LP6007592_vs_LP6007590__pv	1866	1871	1018	3216	415	2175	237	555
LP6007594_vs_LP6007593__pv	497	3816	563	4816	1170	4471	1596	386
LP6007595_vs_LP6007593__pv	2855	1511	1522	2020	1124	2753	533	0
LP6007597_vs_LP6007596__pv	16867	1295	0	2372	12584	4741	78	0
LP6007598_vs_LP6007596__pv	5797	750	0	1077	2335	1938	285	105
LP6007600_vs_LP6007599__pv	99	1830	0	1597	799	1033	344	265
LP6007602_vs_LP6007601__pv	19718	4218	37978	0	0	442	1236	1371
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	19844	1618	12118	1674	2333	3272	1078	208
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	38917	754	12298	1553	1914	3425	1151	106
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	20489	0	13620	2279	7813	5677	0	402
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	7165	75	2909	3889	3848	3602	1209	7045
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	27935	519	15199	1531	3202	3207	807	91
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	19863	1386	11598	1375	2050	3024	933	251
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	20967	0	13817	2510	7790	5955	87	456
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	3525	768	1491	1451	1547	1867	414	1164
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	37958	1467	20091	1463	0	3477	1368	457
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	20193	0	13286	2094	7448	5634	0	326
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	20472	0	13830	2241	7916	5659	0	359
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	1	31	4	31	15	7	27	19
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	28434	810	16998	1488	3214	3486	812	58
