Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PD44909a_vs_PD44909b__pv	463	1356	88	3499	333	2516	41	73
PD44910a_vs_PD44910b__pv	5606	1916	2409	3716	2259	4541	848	1201
PD44912a_vs_PD44912b__pv	29649	4469	9860	2779	0	4563	1690	2958
PD44913a_vs_PD44913b__pv	898	4658	1261	2087	1421	2468	735	826
PD44914a_vs_PD44914b__pv	1293	8289	2240	2331	201	2282	1615	2484
PD44915a_vs_PD44915b__pv	2721	1969	3193	1431	882	3580	484	845
PD44916a_vs_PD44916b__pv	837	3229	673	2508	282	1597	362	1371
PD44917a_vs_PD44917b__pv	43	1234	30	689	190	567	162	595
PD44918a_vs_PD44918b__pv	3884	531	3113	2521	2084	2480	312	1389
PD44919a_vs_PD44919b__pv	7433	953	422	2775	2872	2016	177	624
PD44920a_vs_PD44920b__pv	8936	1693	4588	1512	3547	1622	601	583
PD44921a_vs_PD44921b__pv	1194	1470	1194	949	512	515	268	275
PD44922a_vs_PD44922b__pv	28926	0	16526	142	20562	3823	0	2921
PD44923a_vs_PD44923b__pv	3017	9583	1109	4982	3811	5847	1982	3782
PD44924a_vs_PD44924b__pv	758	2983	706	5206	344	2382	209	817
PD44925a_vs_PD44925b__pv	3412	4186	2147	2122	2819	7244	1271	2110
PD44926a_vs_PD44926b__pv	1120	1979	620	4079	483	2972	462	590
PD44927a_vs_PD44927b__pv	8861	1236	3844	2917	2312	2474	702	947
PD44928a_vs_PD44928b__pv	4673	2160	971	4243	1465	5090	893	409
PD44929a_vs_PD44929b__pv	7271	2257	2952	3102	3257	2070	575	951
PD44930a_vs_PD44930b__pv	4164	9349	10399	2145	0	3332	1213	4674
PD44931a_vs_PD44931b__pv	8343	0	14217	14062	3217	2120	55331	825
PD44932a_vs_PD44932b__pv	10636	2004	1300	2096	1562	2888	670	437
PD44933a_vs_PD44933b__pv	76	1966	19	1633	205	107	418	4794
PD44934a_vs_PD44934b__pv	48144	1242	6516	1673	5736	3227	1847	1528
PD44935a_vs_PD44935b__pv	1516	4112	867	1769	1566	4100	1195	1027
PD44936a_vs_PD44936b__pv	1008	1633	972	1828	510	817	528	419
PD44937a_vs_PD44937b__pv	4009	5427	4093	3688	2365	3369	811	3300
PD44938a_vs_PD44938b__pv	5377	2752	2890	1685	4242	3213	1671	699
PD44939a_vs_PD44939b__pv	1716	2988	743	3685	1421	3538	714	1470
PD44941a_vs_PD44941b__pv	1253	4241	515	2773	880	3431	525	869
PD44942a_vs_PD44942b__pv	5315	1532	2241	3607	1527	2731	352	514
PD44943a_vs_PD44943b__pv	324	2311	248	1796	532	2232	684	245
PD44944a_vs_PD44944b__pv	4467	2817	1583	2590	1855	3404	1200	616
PD44945a_vs_PD44945b__pv	17828	2765	13340	1178	3430	3880	430	1546
PD44946a_vs_PD44946b__pv	2985	3628	2475	3138	283	2623	349	877
PD44947a_vs_PD44947b__pv	520	874	235	708	488	913	102	304
PD44948a_vs_PD44948b__pv	7422	2085	7263	2282	1757	1668	717	4872
PD44949a_vs_PD44949b__pv	3247	0	1418	3127	2294	1769	266	3014
PD44950a_vs_PD44950b__pv	826	859	312	961	282	1646	194	375
PD46225a_vs_PD46225b__pv	2769	2709	2725	4059	622	5549	720	2408
PD46226a_vs_PD46226b__pv	2366	4558	135	6053	69	3399	987	1986
PD46227a_vs_PD46227b__pv	4783	17855	19497	659	0	2056	2636	2424
PD46228a_vs_PD46228b__pv	10102	652	4001	2991	0	5136	206	750
PD46229a_vs_PD46229b__pv	11967	3792	10921	2841	738	3887	1492	1823
PD46230a_vs_PD46230b__pv	2676	3045	1469	2283	725	3530	1011	6823
PD46231a_vs_PD46231b__pv	211	1339	2	1298	495	1291	293	1366
PD46232a_vs_PD46232b__pv	2635	2199	1377	2239	1798	2746	203	909
PD46233a_vs_PD46233b__pv	2321	10134	6401	2721	3744	2630	1379	2360
PD46234a_vs_PD46234b__pv	41	2340	16	1294	1044	1841	913	776
PD46235a_vs_PD46235b__pv	5335	2602	1825	6041	246	3474	649	1475
PD46236a_vs_PD46236b__pv	2120	2889	1089	4360	1030	4926	518	546
PD46237a_vs_PD46237b__pv	17347	7870	1429	3895	1948	3784	1771	1450
PD46238a_vs_PD46238b__pv	1611	7630	626	148	1173	2507	1244	1229
PD46239a_vs_PD46239b__pv	3019	1959	1955	2652	1096	1961	694	736
PD46240a_vs_PD46240b__pv	784	2741	505	1967	617	1367	908	443
PD46241a_vs_PD46241b__pv	18083	5586	6016	5796	2586	5351	787	1054
PD46242a_vs_PD46242b__pv	13196	1525	69441	628	0	2724	3223	5948
PD46243a_vs_PD46243b__pv	925	3166	675	4062	2265	2463	1329	2921
PD46244a_vs_PD46244b__pv	108	662	0	4168	1124	3067	202	435
PD46245a_vs_PD46245b__pv	0	7828	260	1563	0	4252	435	2295
PD46246a_vs_PD46246b__pv	2622	9378	5192	4045	2821	3184	1635	2480
PD46247a_vs_PD46247b__pv	2149	3229	3783	7359	2483	2774	663	1392
PD46248a_vs_PD46248b__pv	20337	0	8566	2302	8259	2021	571	506
PD46249a_vs_PD46249b__pv	13688	491	6380	4246	6854	5426	551	107
PD46250a_vs_PD46250b__pv	149	4389	103	774	0	767	757	3894
PD46251a_vs_PD46251b__pv	381	403	650	11354	474	1675	28342	208
PD46252a_vs_PD46252b__pv	395	0	2790	296	0	29928	0	693
PD46253a_vs_PD46253b__pv	6587	2536	7092	5236	2164	3291	1088	2507
PD46254a_vs_PD46254b__pv	6280	963	3852	2988	3330	3016	368	1019
PD46255a_vs_PD46255b__pv	774	1283	340	4075	2735	3064	0	1107
PD46256a_vs_PD46256b__pv	1494	2407	3789	3622	137	1628	1026	496
PD46257a_vs_PD46257b__pv	137	1214	57	4555	295	2857	460	492
PD46258a_vs_PD46258b__pv	4713	3402	2504	1968	1882	3224	711	1505
PD46259a_vs_PD46259b__pv	2391	3964	2073	1642	2597	2195	778	2082
PD46260a_vs_PD46260b__pv	239	1850	314	1759	475	1843	796	3916
PD46261a_vs_PD46261b__pv	462	1830	312	1691	668	1384	571	595
PD46262a_vs_PD46262b__pv	829	1600	644	1401	0	852	214	966
PD46263a_vs_PD46263b__pv	6132	150	1345	1346	2366	4213	78	246
PD46264a_vs_PD46264b__pv	3617	2810	2210	1052	1729	2814	601	1583
PD46265a_vs_PD46265b__pv	7318	1885	4721	3273	2313	2951	734	1321
PD46267a_vs_PD46267b__pv	4	297	17	85	37	52	52	58
PD46268a_vs_PD46268b__pv	2093	2647	0	2471	695	2558	798	1001
SLX-16751	2209	946	1225	1526	330	1131	195	249
SLX-16752	6583	0	9439	1070	4953	1287	0	0
SLX-18929	169000	114528	122714	93616	85783	126252	39712	52175
SLX-18949	18951	257	12877	2826	7532	3342	301	338
SLX-18950	684	898	105	694	279	538	322	104
SM-4AX82_vs_SM-4AWN8__pv	2692	3802	1312	3389	1061	4947	428	469
SM-4AX83_vs_SM-4AWN9__pv	1654	1559	372	658	914	1110	292	738
SM-4AX84_vs_SM-4AWNA__pv	10059	672	5826	2518	3721	4453	332	469
SM-4AX85_vs_SM-4AWNB__pv	160	3432	236	3249	2041	3493	1454	1315
SM-4AX86_vs_SM-4AWNC__pv	5137	2504	3671	1863	1737	2718	477	2041
SM-4AX87_vs_SM-4AWND__pv	11	772	142	1079	565	2163	55	183
SM-4B295_vs_SM-4AWNE__pv	8822	5759	5008	2446	1993	3089	881	1962
SM-4B296_vs_SM-4AWNF__pv	8878	12577	6983	1334	3529	3374	2398	8455
SM-4JPP6_vs_SM-4JPUS__pv	1786	5743	909	2262	1027	6550	938	1179
SM-4JPP7_vs_SM-4JPUT__pv	1180	2664	1020	2039	917	1294	596	1182
SM-4JPP9_vs_SM-4JPUT__pv	1365	2538	1003	1942	947	1221	521	1102
SM-4JPPA_vs_LP6005333-DNA_B01__pv	2903	2497	1236	7242	4585	8156	786	2317
SM-4JPPB_vs_LP6005333-DNA_B01__pv	2306	2242	1308	7189	4588	8120	781	2338
SM-4JPPC_vs_LP6005333-DNA_B01__pv	3106	2339	1156	7283	4627	8148	795	2338
SM-4JPUV_vs_SM-4JPUS__pv	110	1600	173	1069	430	1092	324	315
SM-4JPUW_vs_SM-4JPUS__pv	4	86	0	15	12	9	20	4
SM-4JPUX_vs_SM-4JPUT__pv	650	2791	409	1713	943	1065	287	833
SM-4JPUY_vs_LP6005333-DNA_B01__pv	4420	2200	1850	7203	5541	8370	768	2279
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	4371	2313	1735	6609	5448	8112	677	2243
SM-4JPV1_vs_SM-4JPUS__pv	1485	5014	912	2042	835	5516	772	1016
SM-4JPV2_vs_SM-4JPUS__pv	2174	5469	1359	2299	1049	6599	871	1156
SS6003109_vs_SS6003108__pv	6773	4386	2912	1619	706	2518	507	3993
SS6003111_vs_SS6003110__pv	3356	4998	2430	4154	2405	5053	639	1333
SS6003113_vs_SS6003112__pv	4492	1118	6864	1966	0	2570	10	445
SS6003115_vs_SS6003114__pv	11825	918	7054	1913	5393	3272	0	890
SS6003117_vs_SS6003116__pv	8	0	0	2380	646	975	0	6827
SS6003119_vs_SS6003118__pv	200	2239	153	1400	549	1228	415	397
SS6003121_vs_SS6003120__pv	3705	924	29875	2333	8021	2373	0	1617
SS6003125_vs_SS6003124__pv	6771	2563	4386	1881	0	2840	283	756
SS6003129_vs_SS6003128__pv	8556	3086	5286	4695	4377	5028	493	1704
SS6003131_vs_SS6003130__pv	394	1306	81	2144	831	2061	181	490
SS6003133_vs_SS6003132__pv	401	0	46	1609	866	8483	0	3790
SS6003135_vs_SS6003134__pv	20586	1565	6882	1508	1255	1765	813	1390
SS6003137_vs_SS6003136__pv	1975	2512	1025	2924	655	4271	743	300
SS6003149_vs_SS6003148__pv	29640	0	15668	1777	17700	2007	0	3987
SS6003302_vs_SS6003301__pv	3819	3572	2882	2234	629	3189	912	1263
SS6003303_vs_SS6003301__pv	2614	2519	2089	1635	172	2362	441	950
SS6003305_vs_SS6003304__pv	306	5979	155	1772	282	1996	537	2061
SS6003306_vs_SS6003304__pv	338	3659	254	1577	92	1207	432	1168
SS6003308_vs_SS6003307__pv	943	1184	327	2104	1306	1521	172	1211
SS6003309_vs_SS6003307__pv	1103	1791	262	2526	1575	2115	207	1732
SS6003311_vs_SS6003310__pv	0	107	35	2566	1710	15520	919	377
SS6003312_vs_SS6003310__pv	0	0	0	2198	1001	14820	1030	284
SS6003314_vs_SS6003313__pv	7078	1100	3748	1353	3157	1668	437	1708
SS6003315_vs_SS6003313__pv	7083	1084	3806	1354	3187	1639	453	1714
SS6003317_vs_SS6003316__pv	19688	173	7007	2237	4855	3025	193	777
SS6003318_vs_SS6003316__pv	19592	309	7102	2280	5009	3070	204	818
SS6003320_vs_SS6003319__pv	7663	3633	5592	3909	346	2522	1154	1452
SS6003321_vs_SS6003319__pv	7424	3498	5367	3547	312	2479	1100	1208
SS6003323_vs_SS6003322__pv	6377	1037	132	3399	4681	2597	359	1021
SS6003324_vs_SS6003322__pv	4608	1744	203	3063	3256	2184	204	981
