Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	2931	2143	398	1983	358	499	401	196	688	327	339	0	441	265	309	268	105	133	89	151
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	3537	2613	0	3928	473	2108	239	585	2696	5457	17143	1853	975	0	594	102	972	2430	62	93
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	1893	5033	152	1791	1124	187	1322	1348	834	812	0	378	195	968	265	1945	297	1067	219	143
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	985	985	437	332	934	863	786	1125	1202	435	583	539	1302	417	1005	964	653	104	325	425
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	3717	1811	1477	2211	2836	1701	1227	1300	919	2051	0	100	3963	0	1781	713	524	187	292	519
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	2078	1520	607	998	362	1535	702	1169	1116	371	720	603	1331	316	544	614	756	0	241	547
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	2842	2371	971	909	993	811	794	743	1107	429	149	545	1264	582	661	577	689	88	506	365
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	4324	7286	400	4227	1247	1911	827	1434	2755	649	914	397	1871	1957	1281	1296	619	759	526	419
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	3084	3163	1758	1182	228	1831	259	401	935	232	696	418	976	0	2149	296	364	1270	616	339
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	1167	1446	634	527	608	753	460	1793	1186	524	341	120	696	208	216	240	470	161	206	460
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	1524	1659	589	696	3041	915	811	1415	2765	3259	1260	1322	872	1577	552	848	332	226	362	195
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	4447	7037	389	2641	1528	684	2204	762	590	255	277	701	1042	709	252	620	144	218	506	396
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	1546	2288	634	1798	784	805	674	1183	1766	620	473	139	572	38	291	367	437	573	209	288
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	3461	4820	408	2039	1491	436	497	4023	3348	761	331	624	336	691	333	566	201	234	378	1524
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	2714	2416	476	1804	874	705	1865	777	1571	528	407	363	517	872	284	563	305	723	328	276
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	13595	10790	210	5745	631	0	648	1016	856	460	826	164	1662	468	1851	765	267	0	215	404
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	31390	10621	768	17450	0	1401	1081	1224	0	1361	135	769	2629	211	102	593	786	9305	905	162
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	2709	3743	198	2324	465	1821	1369	1168	1172	175	994	317	994	843	504	828	1196	0	324	712
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	936	3424	1111	697	2852	995	3458	2326	2097	1138	97	624	1551	508	533	2546	4491	401	482	654
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	2260	230	0	172	3731	936	407	1522	5549	2179	1713	1493	1162	868	1308	1041	230	895	476	1131
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	19010	12526	859	4206	1262	254	1721	791	1226	440	0	724	678	264	419	410	199	1634	356	111
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	16	7	465	0	1281	174	223	64	425	133	0	113	236	0	129	291	335	0	78	19
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	1956	11731	972	2219	1402	581	612	942	989	362	0	695	303	121	209	231	213	1434	112	207
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	4102	1708	239	495	1938	395	2002	1142	1292	483	219	623	1380	1238	1594	1133	744	0	441	478
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	3875	1127	760	764	2076	334	128	374	654	239	233	976	1199	0	1594	1090	2107	0	303	397
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	4463	1805	423	1233	512	598	560	320	3991	906	600	714	0	1137	1756	548	751	2209	280	297
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	120	280	457	107	340	192	209	527	498	71	23	132	288	0	94	122	113	0	98	48
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	2531	2268	1048	936	889	695	954	730	1628	465	216	559	1124	326	885	483	758	0	558	279
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	1336	1466	811	759	2269	876	1422	2874	2395	319	563	1178	622	935	553	535	342	153	120	789
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	1351	1574	733	1258	1633	718	611	1534	1990	456	334	749	950	583	244	760	856	171	402	716
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	306	473	307	355	308	79	186	228	371	79	0	92	296	0	113	197	89	0	67	0
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	3773	7382	93	4429	273	1187	1435	1293	2043	0	1194	241	297	680	656	1256	585	0	0	289
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	413	346	857	390	1046	906	544	2347	1551	402	580	586	342	368	291	472	318	0	320	986
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	3660	2987	648	996	810	833	549	1536	981	435	218	369	822	302	740	510	293	0	325	310
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	5694	7532	726	5672	707	932	689	1075	837	0	285	1382	538	991	300	606	543	860	295	319
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	181	359	596	0	2235	1621	1070	2442	1630	571	451	830	1066	477	363	675	539	0	352	370
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	5371	8719	432	3313	850	897	1986	2528	1901	603	973	633	868	1196	223	972	339	793	443	1180
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	10834	8901	211	5166	903	287	1376	715	2508	668	291	526	1235	1505	824	1488	760	891	366	89
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	9744	7914	493	2723	562	1431	347	751	1538	763	733	294	516	288	1087	861	946	0	300	406
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	5321	5720	479	2379	1138	1782	1081	4579	3037	1359	746	569	533	935	1063	1062	919	54	606	746
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	0	2	4	3	13	0	4	0	5	5	0	0	0	0	2	2	4	0	0	0
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	813	1444	321	594	1415	597	1848	1562	1292	426	843	117	283	0	350	180	99	589	395	446
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	6000	6463	378	2101	1556	640	2095	1760	901	740	528	348	1823	723	2003	689	488	176	334	139
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	7651	13953	173	9818	621	0	1278	1196	0	563	0	0	2016	1128	341	1320	397	0	196	145
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	1171	1797	474	1041	1346	975	2060	1497	1243	143	622	769	716	208	455	978	593	0	400	451
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	4242	7008	476	2304	1038	727	1943	1665	1717	230	828	478	972	427	77	714	291	0	477	564
