Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	1.44E+01	1.65E+01	4.80E+00	8.76E+00	4.59E+00	4.46E+00	5.04E+00	5.56E+00	9.63E+00	4.83E+00	6.68E+00	5.50E+00	7.85E+00	9.44E+00	3.56E+00	3.42E+00	2.41E+00	2.21E+01	4.17E+00	6.66E+00
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	1.13E+01	1.71E+01	5.15E+00	1.12E+01	4.41E+00	4.11E+00	4.44E+00	5.80E+00	1.00E+01	5.37E+00	6.42E+00	5.58E+00	9.05E+00	7.37E+00	3.45E+00	2.81E+00	1.61E+00	1.90E+01	3.29E+00	6.65E+00
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	1.91E+01	2.27E+01	8.16E+00	1.43E+01	6.28E+00	6.09E+00	5.76E+00	5.69E+00	1.69E+01	5.99E+00	1.12E+01	7.50E+00	1.46E+01	1.01E+01	4.90E+00	3.78E+00	2.27E+00	3.14E+01	3.73E+00	6.13E+00
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	3.93E+00	4.40E+00	4.74E+00	3.11E+00	4.03E+00	3.64E+00	4.31E+00	3.20E+00	1.01E+01	3.93E+00	5.12E+00	4.61E+00	8.78E+00	6.71E+00	2.45E+00	2.57E+00	1.33E+00	8.71E+00	2.56E+00	3.59E+00
LP2000346-DNA_A01_vs_SM-4JPUU__pv	8.73E+00	1.01E+01	7.08E+00	4.69E+00	9.27E+00	9.66E+00	1.32E+01	1.39E+01	2.03E+01	1.71E+01	1.14E+01	1.00E+01	1.31E+01	1.37E+01	5.43E+00	1.00E+01	4.09E+00	1.63E+01	1.02E+01	1.64E+01
LP2000350-DNA_A01_vs_SM-4JPUU__pv	6.36E+00	6.98E+00	8.18E+00	3.39E+00	8.37E+00	7.28E+00	1.26E+01	1.12E+01	1.88E+01	1.54E+01	1.02E+01	1.00E+01	1.74E+01	1.28E+01	4.84E+00	8.61E+00	3.46E+00	1.63E+01	4.81E+00	1.29E+01
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	2.53E+01	3.62E+01	6.80E+00	3.23E+01	3.91E+00	6.57E+00	4.53E+00	7.20E+00	8.75E+00	6.96E+00	1.04E+01	5.12E+00	8.65E+00	9.80E+00	5.19E+00	3.15E+00	3.00E+00	3.77E+01	4.51E+00	1.03E+01
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	9.94E+01	9.21E+01	8.91E+00	9.99E+01	5.63E+00	8.78E+00	5.20E+00	1.07E+01	1.17E+01	9.03E+00	2.30E+01	6.22E+00	1.29E+01	2.38E+01	7.86E+00	4.80E+00	3.53E+00	1.19E+02	6.35E+00	2.20E+01
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	2.94E+01	3.89E+01	6.77E+00	3.57E+01	5.15E+00	7.28E+00	5.15E+00	7.29E+00	1.07E+01	7.14E+00	1.08E+01	4.02E+00	1.07E+01	1.04E+01	5.04E+00	3.52E+00	3.10E+00	4.13E+01	5.13E+00	1.06E+01
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	2.40E+01	3.84E+01	8.40E+00	3.43E+01	4.72E+00	7.40E+00	5.44E+00	7.44E+00	8.87E+00	8.81E+00	1.16E+01	6.08E+00	9.95E+00	1.11E+01	6.62E+00	3.51E+00	3.73E+00	3.83E+01	5.44E+00	1.04E+01
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	3.16E+01	4.13E+01	6.45E+00	3.78E+01	5.00E+00	6.54E+00	4.91E+00	7.37E+00	9.59E+00	6.99E+00	1.00E+01	5.35E+00	9.78E+00	1.04E+01	5.43E+00	3.29E+00	3.04E+00	4.29E+01	4.46E+00	1.13E+01
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1.10E+01	1.17E+01	7.00E+00	4.10E+00	9.00E+00	8.94E+00	1.22E+01	1.34E+01	1.78E+01	1.59E+01	1.07E+01	9.52E+00	1.25E+01	1.26E+01	5.09E+00	9.18E+00	3.86E+00	1.65E+01	8.93E+00	1.51E+01
LP2000367-DNA_A01_vs_SM-4JPUU__pv	9.72E+00	1.04E+01	6.24E+00	3.99E+00	9.62E+00	9.31E+00	1.26E+01	1.39E+01	1.99E+01	1.49E+01	1.17E+01	9.24E+00	1.20E+01	1.33E+01	5.40E+00	9.59E+00	3.88E+00	1.54E+01	9.92E+00	1.63E+01
LP2000368-DNA_A01_vs_SM-4JPUU__pv	8.32E+00	8.97E+00	6.11E+00	4.33E+00	8.27E+00	8.30E+00	1.15E+01	1.24E+01	1.78E+01	1.48E+01	9.99E+00	8.59E+00	1.27E+01	1.28E+01	5.00E+00	8.76E+00	3.74E+00	1.46E+01	9.02E+00	1.43E+01
LP2000369-DNA_A01_vs_SM-4JPUU__pv	8.13E+00	8.77E+00	6.42E+00	3.93E+00	8.07E+00	7.84E+00	1.07E+01	1.22E+01	1.62E+01	1.41E+01	1.05E+01	8.11E+00	1.12E+01	1.14E+01	4.70E+00	8.39E+00	3.37E+00	1.36E+01	8.18E+00	1.42E+01
LP2000370-DNA_A01_vs_SM-4JPUU__pv	9.51E+00	1.07E+01	6.94E+00	4.42E+00	1.02E+01	1.01E+01	1.31E+01	1.54E+01	2.13E+01	1.76E+01	1.29E+01	1.01E+01	1.32E+01	1.42E+01	5.49E+00	1.06E+01	4.05E+00	1.71E+01	1.09E+01	1.70E+01
LP2000371-DNA_A01_vs_SM-4JPUU__pv	6.28E+00	7.18E+00	8.05E+00	3.40E+00	8.19E+00	7.37E+00	1.21E+01	1.16E+01	1.90E+01	1.52E+01	1.12E+01	1.02E+01	1.74E+01	1.26E+01	4.61E+00	8.96E+00	3.41E+00	1.70E+01	4.56E+00	1.29E+01
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	2.67E+01	4.03E+01	8.39E+00	3.57E+01	4.80E+00	7.84E+00	5.94E+00	9.10E+00	9.85E+00	8.22E+00	9.84E+00	6.38E+00	1.05E+01	1.23E+01	7.32E+00	3.60E+00	4.26E+00	3.88E+01	5.81E+00	1.25E+01
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	2.54E+01	3.16E+01	5.78E+00	2.96E+01	3.81E+00	4.74E+00	4.13E+00	6.25E+00	7.69E+00	5.79E+00	8.99E+00	5.00E+00	7.14E+00	8.65E+00	4.50E+00	2.66E+00	2.31E+00	3.45E+01	4.02E+00	9.06E+00
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	3.01E+01	5.02E+01	7.98E+00	3.20E+01	6.30E+00	9.49E+00	6.67E+00	1.71E+01	1.47E+01	9.94E+00	1.16E+01	8.73E+00	1.34E+01	1.23E+01	5.69E+00	4.97E+00	3.36E+00	5.88E+01	6.22E+00	1.70E+01
