Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	3340	3003	704	984	2439	796	559	268	1107	2149	551	198	341
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	3468	5994	526611	190685	128124	166873	15128	29839	0	12982	16684	8350	14046
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	8054	11165	1307	906	756	972	2254	604	1483	1147	3111	1690	865
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	751	537	449	493	1058	393	409	211	1012	492	138	137	131
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	4990	3311	667	177	1425	1101	2641	224	1581	1237	340	730	338
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	10709	9134	847	1678	2550	4390	5258	897	3477	2978	1846	604	387
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	0	7	82	29	42	6	3	17	6	10	7	17	2
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	2566	3772	456	435	563	404	1175	209	642	829	746	661	171
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	7455	5126	360	885	821	592	2958	530	1688	1917	942	245	0
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	1990	2294	667	678	1155	501	824	343	842	1672	659	181	281
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	1721	1933	767	2205	1392	2165	854	309	1792	1136	484	248	712
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	2755	2841	840	1302	2232	1120	1351	993	2525	1795	833	294	387
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	706	658	771	551	1115	466	224	111	734	670	248	259	264
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	8218	9603	628	2102	2411	1006	2894	2385	5961	3421	3404	2087	242
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	2689	3850	529	587	1091	309	242	308	866	803	691	273	295
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	2679	1987	958	1861	3259	459	922	0	1827	489	878	952	810
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	5164	4606	639	530	2282	1401	2398	616	2684	1666	560	715	374
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	2475	2991	1245	1516	901	1181	1846	1067	2325	2534	157	1715	445
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	1645	1159	660	2405	2906	737	452	1256	3226	1498	761	636	1198
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	615	787	706	474	4049	756	472	177	2627	1230	0	1133	943
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	4215	2158	1037	5042	2489	1309	1810	1639	4040	2002	1142	918	2112
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	855	452	827	1147	1927	1787	265	34	1627	1489	249	702	376
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	2143	6591	473390	166156	107122	146788	12089	20720	0	12312	18996	8388	10702
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	1408	1456	1034	3468	1094	2609	857	1558	4644	2614	0	3754	1876
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	142	130	644	769	759	521	128	596	1661	1036	171	755	169
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	2764	1773	653	1312	1350	769	594	582	1550	531	460	311	512
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	4111	205	18645	0	15367	3815	2612	55640	8960	1668	0	41	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	2419	15272	220	3070	1433	124	0	1217	683	869	3423	2399	287
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	406	93	138	2151	198	760	91	1033	975	1058	567	457	2996
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	1425	1375	1136	784	1733	1177	689	311	1954	788	412	863	617
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	692	1119	860	1618	1249	565	533	248	1209	1377	493	600	656
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	583	0	968	3873	1479	1171	291	1156	1974	3626	1013	1522	1406
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	1881	965	1326	1536	2982	3277	614	1280	2657	6040	3439	598	887
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	2908	1784	783	2264	2008	1065	865	1038	2392	2255	519	1024	966
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	7739	5560	792	1520	1720	1221	3883	746	1913	2133	1123	400	383
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	2631	3701	0	2535	2919	604	2056	3706	5408	8421	1901	1023	521
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	26827	19415	594	998	1205	388	9901	619	1308	1215	1633	646	575
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	2924	1921	1459	4995	2144	748	916	1043	3867	2456	1081	814	2381
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	4554	4881	10856	0	13158	5808	3539	52947	2941	0	1739	117	336
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	2367	2079	2	2300	1632	1586	1263	1307	3064	2007	570	371	797
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	8194	7445	1178	668	1633	855	1177	1441	2554	1513	4148	1078	705
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	2104	2355	708	1671	1633	2324	865	178	1840	1173	635	404	543
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	3754	2459	615	1025	967	656	1367	360	854	797	161	235	145
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	5338	6605	616	1590	1458	1664	4037	249	2058	1724	118	392	746
PD44724a_vs_PD44724b__pv	6234	6042	42	983	3242	1642	3887	813	2667	2062	1786	1785	882
PD44725a_vs_PD44725b__pv	2250	2556	788	1214	1877	614	1053	830	1463	1157	680	404	576
PD44726a_vs_PD44726b__pv	1785	828	327	372	889	970	543	198	508	1200	213	208	266
PD44727a_vs_PD44727b__pv	8866	3767	909	1221	2197	1217	1340	142	1291	400	4439	759	1389
PD44728a_vs_PD44728b__pv	1412	488	657	2821	1816	1222	706	1396	2083	1854	1039	1457	903
PD44729a_vs_PD44729b__pv	360	220	554	1880	2747	1538	325	601	1522	2154	419	258	634
PD44730a_vs_PD44730b__pv	3665	2839	1011	2329	1726	1369	1302	614	1017	1476	680	733	1071
PD44731a_vs_PD44731b__pv	623	605	417	1384	2914	753	188	532	1618	1013	299	636	450
PD44732a_vs_PD44732b__pv	120	173	497	220	1488	2205	149	112	1431	893	99	128	428
PD44733a_vs_PD44733b__pv	30	1308	13428	0	12642	2431	593	53263	2593	1220	0	1487	1709
PD44734a_vs_PD44734b__pv	4681	3104	232	2637	1592	3086	2468	892	2874	1897	1159	326	1073
PD44735a_vs_PD44735b__pv	3056	2086	540	1743	3483	1617	1123	1029	3434	2716	300	584	786
PD44736a_vs_PD44736b__pv	1620	2603	403	2128	2125	1352	752	1663	2315	2045	2180	449	1102
PD44737a_vs_PD44737b__pv	2505	1885	1301	2555	2814	831	759	821	1592	3285	1365	1188	431
PD44738a_vs_PD44738b__pv	8894	7479	969	3758	2867	1046	2550	911	2869	1967	5250	892	1678
PD44739a_vs_PD44739b__pv	3371	2910	653	2142	1610	1116	2651	676	1678	2199	619	276	509
PD44740a_vs_PD44740b__pv	29145	19693	1587	3466	1328	4131	13183	1011	1776	1343	0	681	3338
PD44741a_vs_PD44741b__pv	706	449	1195	1744	1604	1889	478	483	1670	932	755	821	568
PD44742a_vs_PD44742b__pv	1507	5154	684	4188	1161	264	2359	3141	2047	2272	1848	3516	384
PD44743a_vs_PD44743b__pv	1743	807	966	1823	1894	1395	913	610	956	2102	278	527	1101
PD44744a_vs_PD44744b__pv	11413	10426	326	0	1898	3771	6185	0	3657	1238	0	2942	77
PD44745a_vs_PD44745b__pv	14290	8338	87	4816	3025	3128	5375	1289	4214	2421	2384	2114	270
PD44746a_vs_PD44746b__pv	265	155	368	789	888	385	13	678	1414	992	227	351	370
PD44747a_vs_PD44747b__pv	2965	2915	335	1442	1393	734	1100	574	1161	1389	916	437	337
PD44749a_vs_PD44749b__pv	2106	2556	667	1170	474	656	831	325	744	434	357	811	336
PD44751a_vs_PD44751b__pv	813	689	129	183	665	126	459	244	385	472	155	90	147
PD44752a_vs_PD44752b__pv	1938	664	564	1412	2094	940	720	559	1691	4231	295	633	489
PD44753a_vs_PD44753b__pv	495	440	1151	1761	1139	1873	355	624	1782	894	599	259	317
PD44758a_vs_PD44758b__pv	5378	3198	819	981	1009	425	1151	741	1239	622	758	450	220
PD44759a_vs_PD44759b__pv	2456	1791	712	1696	1327	1002	485	949	2328	1972	936	306	842
PD44760a_vs_PD44760b__pv	1409	2664	860	2214	1574	674	841	590	977	971	1032	571	764
PD44761a_vs_PD44761b__pv	679	466	1286	2660	3220	629	318	428	1842	1657	897	441	894
PD44762a_vs_PD44762b__pv	167	122	521	949	1217	1143	54	387	1178	441	358	292	225
PD44763a_vs_PD44763b__pv	2288	2089	250	1912	1969	1270	1669	996	2128	1918	495	596	1014
PD44764a_vs_PD44764b__pv	753	712	338	2172	1427	0	191	843	1453	508	1407	2332	808
PD44765a_vs_PD44765b__pv	13726	23787	306	2790	2236	3151	4267	1207	3839	1362	1514	1103	1064
PD44766a_vs_PD44766b__pv	2168	493	3501	0	23038	0	3116	50980	7243	370	186	652	0
PD44767a_vs_PD44767b__pv	6053	13126	1436	3329	1552	408	2161	2202	1641	994	2131	1421	159
PD44769a_vs_PD44769b__pv	277	22	459	1777	1268	976	40	389	1941	938	0	228	868
PD44770a_vs_PD44770b__pv	2602	3766	0	0	8019	515	295	23033	3053	528	0	809	199
PD44772a_vs_PD44772b__pv	3055	1187	1068	3409	1875	1014	1260	1305	2570	3270	2059	2622	1475
PD44773a_vs_PD44773b__pv	3595	2480	1731	2408	5664	1535	1826	0	1778	1190	0	368	941
PD44774a_vs_PD44774b__pv	44	277	930	915	2227	581	132	0	1303	156	42	845	646
PD44775a_vs_PD44775b__pv	1061	563	0	0	43506	6884	0	49402	0	3009	0	566	1959
PD44776a_vs_PD44776b__pv	5055	15298	481	4805	1075	339	7672	908	455	732	1414	2004	1526
PD44777a_vs_PD44777b__pv	807	345	166	1832	2222	791	542	1187	2736	2541	430	100	601
PD44778a_vs_PD44778b__pv	1387	4923	1505	2157	2442	878	1290	552	1886	527	3171	1101	914
PD44780a_vs_PD44780b__pv	81	64	615	531	1018	590	55	52	821	1454	173	195	232
PD44781a_vs_PD44781b__pv	12625	7909	324	382	1707	2631	6179	1376	5075	877	1053	1118	947
PD44782a_vs_PD44782b__pv	13842	16064	57	1876	1564	1213	7001	872	2128	1665	1322	2873	771
PD44783a_vs_PD44783b__pv	2932	1312	1463	2026	382	658	1089	1141	2121	1306	5190	112	1388
PD44784a_vs_PD44784b__pv	760	408	705	4200	2733	1132	401	1343	1744	3816	927	513	1093
PD44785a_vs_PD44785b__pv	8363	6594	801	1734	993	1342	5741	845	2116	973	884	511	818
PD44786a_vs_PD44786b__pv	864	325	251	306	902	666	372	281	1195	327	468	216	147
PD44787a_vs_PD44787b__pv	820	1083	927	1302	2231	1126	202	574	1379	3481	967	561	695
PD44788a_vs_PD44788b__pv	2370	1548	253	2886	1522	974	1267	1464	2632	3885	1116	1635	758
PD44789a_vs_PD44789b__pv	4153	3603	481	3539	1880	2589	1100	1241	4447	1595	230	1248	1966
PD44790a_vs_PD44790b__pv	4580	5409	624	1460	972	1024	1044	933	1309	1757	1616	670	441
PD44791a_vs_PD44791b__pv	3449	2132	351	275	725	224	542	279	693	570	441	0	125
PD44792a_vs_PD44792b__pv	8241	11618	554	1010	335	2360	4512	866	2235	1842	1365	723	31
PD44793a_vs_PD44793b__pv	401	315	508	1036	1813	1245	123	556	1113	1254	191	307	602
PD44794a_vs_PD44794b__pv	432	91	348	3322	1014	1194	106	667	2019	1362	132	1158	1745
PD44795a_vs_PD44795b__pv	9915	12599	106	1174	858	296	5457	850	1002	1391	665	605	270
PD44796a_vs_PD44796b__pv	1846	1876	1206	6150	2514	483	1591	1777	2599	1698	657	1223	1796
PD44797a_vs_PD44797b__pv	3451	2578	404	3545	2930	1130	2359	2355	4437	4523	1276	1237	759
PD44798a_vs_PD44798b__pv	1282	614	284	1432	1524	919	446	525	1319	1518	364	204	290
PD44799a_vs_PD44799b__pv	1595	678	786	1449	2121	1200	366	747	1727	1920	554	329	432
PD44800a_vs_PD44800b__pv	3114	1865	834	1577	2008	1155	957	956	2130	2702	822	1018	633
PD44801a_vs_PD44801b__pv	4385	2698	511	681	2466	1267	746	800	1744	2589	540	96	363
PD44802a_vs_PD44802b__pv	123	198	345	682	822	548	87	267	738	422	279	72	292
PD44803a_vs_PD44803b__pv	4692	4214	1589	3121	3030	1584	1431	1371	3504	4720	1286	502	1182
PD44804a_vs_PD44804b__pv	843	796	297	765	669	600	559	310	520	566	180	28	408
PD44805a_vs_PD44805b__pv	9273	20107	760	205	1811	3733	6203	300	2313	1356	589	2001	47
PD44807a_vs_PD44807b__pv	171	195	662	1006	874	895	285	129	1523	292	289	647	485
PD44808a_vs_PD44808b__pv	723	411	392	3507	1382	386	95	1125	1456	888	611	2429	1530
PD44809a_vs_PD44809b__pv	1376	1232	274	2598	1958	655	390	506	3223	1188	1054	527	1467
PD44810a_vs_PD44810b__pv	3940	5374	743	157	2323	6046	4822	1154	3122	1224	609	1331	386
PD44811a_vs_PD44811b__pv	2873	1590	173	1256	969	491	689	1283	2277	1249	713	586	289
PD44813a_vs_PD44813b__pv	2323	3308	539	1766	1629	712	1126	923	1646	709	1003	598	473
PD44814a_vs_PD44814b__pv	742	563	1047	4092	1940	593	327	1064	1716	1905	784	630	1420
PD44815a_vs_PD44815b__pv	1934	1445	662	1456	688	584	679	889	1588	876	1429	1274	492
PD44816a_vs_PD44816b__pv	1723	827	568	1481	3164	1515	163	814	2148	2090	675	248	539
PD44817a_vs_PD44817b__pv	7	0	714	2118	537	1774	228	818	1713	2799	0	545	1330
PD44818a_vs_PD44818b__pv	5623	6005	685	1383	1221	1534	1148	644	1252	1184	1111	280	604
PD44819a_vs_PD44819b__pv	16120	13550	1402	2873	2149	2809	4633	1198	1280	2743	2700	821	1169
PD44820a_vs_PD44820b__pv	1474	1185	569	988	1764	814	259	816	1487	1621	752	544	352
PD44821a_vs_PD44821b__pv	4559	3564	607	963	1922	2193	1129	642	2003	1931	1609	407	514
PD44823a_vs_PD44823b__pv	884	423	687	1144	1081	778	449	563	1030	823	542	633	369
PD44824a_vs_PD44824b__pv	2682	3639	700	2078	3375	932	1242	1061	1942	2246	932	1941	851
PD44825a_vs_PD44825b__pv	3462	6369	0	839	21529	5661	1191	55356	18297	134	8194	0	0
PD44826a_vs_PD44826b__pv	2009	1651	556	2215	2283	1734	827	1183	1778	2213	566	593	858
PD44827a_vs_PD44827b__pv	1209	967	684	1029	898	426	365	1423	1594	1429	780	566	499
PD44828a_vs_PD44828b__pv	8425	7013	578	1402	2493	961	3511	971	1993	2360	223	606	777
PD44829a_vs_PD44829b__pv	3853	1223	1717	4337	4744	2580	1185	1958	2329	6132	3337	1118	1928
PD44830a_vs_PD44830b__pv	3539	1841	323	1208	2815	1530	615	1047	1853	5176	1277	450	286
PD44831a_vs_PD44831b__pv	16793	12667	1681	0	1213	3269	11804	1058	4529	30	189	961	324
PD44832a_vs_PD44832b__pv	1018	3743	0	880	15003	8528	0	42423	2027	3219	557	0	305
PD44833a_vs_PD44833b__pv	12105	11051	478	3477	1113	709	6405	1098	2023	1818	62	599	596
PD44834a_vs_PD44834b__pv	1613	1665	1046	2991	1427	873	992	809	1259	601	739	1131	692
PD44835a_vs_PD44835b__pv	2316	976	579	1808	826	695	440	1004	1292	3333	1035	1332	161
PD44836a_vs_PD44836b__pv	1947	2637	855	3090	4002	2726	893	1913	3767	1719	2618	439	1510
PD44837a_vs_PD44837b__pv	795	428	237	493	628	803	201	65	535	669	196	0	223
PD44838a_vs_PD44838b__pv	714	385	46	5458	2797	2637	417	658	5296	2128	0	756	2029
PD44839a_vs_PD44839b__pv	485	1209	596	2077	2159	238	223	954	908	1041	1256	2288	472
PD44840a_vs_PD44840b__pv	3319	3253	485	1758	1524	1189	1473	771	1877	1188	812	140	347
PD44841a_vs_PD44841b__pv	7253	5315	6215	0	14323	3733	2964	43617	7173	821	4113	591	0
PD44842a_vs_PD44842b__pv	79	546	553	697	1413	777	620	485	1207	1299	194	600	367
PD44843a_vs_PD44843b__pv	3767	8962	1027	3445	3204	1544	2453	933	2057	2481	2044	1426	1491
PD44844a_vs_PD44844b__pv	288	229	485	1215	1556	722	0	520	1145	1934	428	424	445
PD44845a_vs_PD44845b__pv	2758	962	1148	720	2043	3119	898	39	1440	2575	524	350	609
PD44846a_vs_PD44846b__pv	6526	1196	482	709	987	1059	3148	858	1521	1661	420	130	503
PD44847a_vs_PD44847b__pv	2271	2131	609	1203	2521	843	394	421	1564	1132	1004	408	672
PD44848a_vs_PD44848b__pv	7546	12250	2717	6080	1779	1903	2282	2923	3665	1633	3453	3020	1836
PD44849a_vs_PD44849b__pv	483	395	645	2886	2083	2744	474	1565	2767	3547	26	670	1163
PD44850a_vs_PD44850b__pv	3162	6740	1160	1904	3414	1027	2485	617	1714	1244	1422	945	577
PD44851a_vs_PD44851b__pv	2309	1644	450	453	2133	1067	708	751	2562	1148	774	1710	734
PD44852a_vs_PD44852b__pv	2227	2926	1069	4455	2490	506	955	1141	2543	1422	890	465	1835
PD44853a_vs_PD44853b__pv	1842	1884	384	539	2086	1037	726	735	1588	2889	254	237	279
PD44854a_vs_PD44854b__pv	1938	1921	635	1429	1929	1233	1283	593	2504	1613	1076	934	597
PD44855a_vs_PD44855b__pv	4447	1587	968	983	1549	1130	534	739	1779	2171	1207	560	980
PD44856a_vs_PD44856b__pv	11751	6752	725	1155	2365	2965	3653	349	1704	1320	808	22	948
PD44857a_vs_PD44857b__pv	11920	11792	534	2528	1531	465	3562	1198	1191	994	756	644	420
PD44859a_vs_PD44859b__pv	4139	6787	2958	933	5652	30	3555	24296	3488	472	550	2164	1611
PD44861a_vs_PD44861b__pv	2772	2334	618	2620	1406	2610	2157	1434	2490	2234	906	422	623
PD44862a_vs_PD44862b__pv	231	1913	1295	1113	530	2100	1520	373	2394	100	640	4367	554
PD44863a_vs_PD44863b__pv	4462	4536	765	732	2008	1607	407	435	1436	3105	277	1728	413
PD44864a_vs_PD44864b__pv	6433	5566	825	1591	1230	2259	1470	550	1351	1302	992	760	538
PD44904a_vs_PD44904b__pv	9742	6763	1860	7206	1815	1875	5735	1750	3213	1550	1915	176	2372
PD44905a_vs_PD44905b__pv	784	724	1164	3851	1175	1875	986	977	2418	575	977	1573	991
PD44906a_vs_PD44906b__pv	1139	1849	514	2410	810	933	1932	586	1829	660	388	188	947
PD44908a_vs_PD44908b__pv	4882	6620	538	1649	1805	1399	1315	818	2147	539	1066	334	1150
PD44909a_vs_PD44909b__pv	399	145	792	687	2309	671	67	80	742	1747	303	99	328
PD44910a_vs_PD44910b__pv	4344	2580	368	1133	2361	1040	1927	1054	3293	2733	615	682	366
PD44912a_vs_PD44912b__pv	24643	10855	2043	1794	1564	2330	868	1481	1717	2820	3416	1852	585
PD44913a_vs_PD44913b__pv	655	1139	1129	2973	1366	611	861	773	1047	1324	995	574	907
PD44914a_vs_PD44914b__pv	1189	1814	1887	4007	1433	1160	105	1187	1553	1085	2675	1574	1066
PD44915a_vs_PD44915b__pv	2166	2930	285	1523	918	759	798	698	1142	2204	753	469	460
PD44916a_vs_PD44916b__pv	704	541	488	831	1562	1079	129	165	1549	781	1600	716	714
PD44917a_vs_PD44917b__pv	28	43	283	810	412	363	12	131	283	268	114	369	394
PD44918a_vs_PD44918b__pv	3012	3069	453	581	1596	1566	1374	358	1318	1570	375	774	268
PD44919a_vs_PD44919b__pv	5665	1134	834	842	1759	1202	2283	251	1215	1258	54	416	359
PD44920a_vs_PD44920b__pv	6626	4805	602	1255	1053	701	3372	702	1345	776	591	464	790
PD44921a_vs_PD44921b__pv	889	1105	216	898	645	257	508	268	445	202	433	171	340
PD44922a_vs_PD44922b__pv	21178	17260	1169	3545	553	3856	16215	234	2763	1964	1333	2117	713
PD44923a_vs_PD44923b__pv	2411	1446	2429	6895	2736	4580	746	1546	3590	2682	587	1411	3054
PD44924a_vs_PD44924b__pv	601	666	882	1662	3441	824	256	232	1434	1498	572	671	666
PD44925a_vs_PD44925b__pv	2743	2131	447	3352	1179	2308	1380	1640	2761	4210	1143	829	1188
PD44926a_vs_PD44926b__pv	953	665	899	952	2612	961	107	378	1895	1907	304	304	368
PD44927a_vs_PD44927b__pv	6819	4094	488	991	1948	802	2574	821	1788	1528	528	728	184
PD44928a_vs_PD44928b__pv	3730	1273	648	1361	2667	1145	1071	1036	3018	3151	370	36	398
PD44929a_vs_PD44929b__pv	5480	3213	611	1758	2068	1037	2850	737	1790	1112	652	668	459
PD44930a_vs_PD44930b__pv	3412	8655	0	4437	1650	662	1525	1536	1378	1571	5671	3460	1319
PD44931a_vs_PD44931b__pv	6162	12501	0	145	12268	1909	6507	50579	6387	896	225	536	0
PD44932a_vs_PD44932b__pv	8158	2095	491	1687	1283	787	2097	773	1532	1611	0	219	860
PD44933a_vs_PD44933b__pv	80	0	772	1118	988	991	87	310	307	199	304	3742	320
PD44934a_vs_PD44934b__pv	37332	9918	2225	1824	1038	706	9665	1881	1116	2311	0	1897	0
PD44935a_vs_PD44935b__pv	1253	893	644	3060	974	1020	672	1284	2794	2188	380	292	698
PD44936a_vs_PD44936b__pv	812	889	408	753	1208	457	397	444	940	443	588	235	141
PD44937a_vs_PD44937b__pv	3062	3874	1725	1891	2193	2111	1459	353	3424	1746	1929	1948	1347
PD44938a_vs_PD44938b__pv	3620	3154	269	1209	965	2359	2441	1596	1864	1070	657	0	3325
PD44939a_vs_PD44939b__pv	1364	819	862	1817	2316	1290	697	747	2136	2115	549	873	690
PD44941a_vs_PD44941b__pv	1071	513	640	3497	1768	1205	374	757	865	1960	636	390	811
PD44942a_vs_PD44942b__pv	4084	2446	657	1183	2340	1164	1346	407	1396	1676	253	269	598
PD44943a_vs_PD44943b__pv	216	263	543	1224	1133	291	255	666	1451	1228	317	97	688
PD44944a_vs_PD44944b__pv	3426	1778	492	1782	1592	1130	1340	1205	2469	1792	539	98	889
PD44945a_vs_PD44945b__pv	13752	12861	702	3000	1099	217	5294	1078	0	2657	2006	1731	0
PD44946a_vs_PD44946b__pv	2338	2324	950	2088	2076	473	628	372	1120	1587	936	731	735
PD44947a_vs_PD44947b__pv	389	252	235	525	449	226	309	141	451	540	215	207	205
PD44948a_vs_PD44948b__pv	5604	6913	462	1186	1325	1896	1933	455	2752	724	425	3231	1160
PD44949a_vs_PD44949b__pv	2509	1625	525	0	1829	2339	1108	2	2255	1094	0	1682	167
PD44950a_vs_PD44950b__pv	666	314	114	533	627	256	258	317	514	1050	341	268	197
PD46225a_vs_PD46225b__pv	2357	2509	461	1888	2564	1621	445	964	2330	3582	923	1496	421
PD46226a_vs_PD46226b__pv	1992	152	256	2160	3913	1502	267	992	3015	1864	1553	1127	760
PD46227a_vs_PD46227b__pv	4410	16136	2364	3831	980	435	1287	1920	674	403	13894	1668	1908
PD46228a_vs_PD46228b__pv	8128	4305	522	610	1904	711	989	463	1533	3511	358	586	218
PD46229a_vs_PD46229b__pv	9226	10305	325	2875	1858	1069	2270	1406	2967	1990	865	1009	1296
PD46230a_vs_PD46230b__pv	2117	1380	589	1987	1430	546	1169	1383	1921	2456	668	5578	338
PD46231a_vs_PD46231b__pv	165	54	253	806	733	634	118	247	1404	660	0	814	407
PD46232a_vs_PD46232b__pv	2134	1435	491	1722	1309	1667	814	238	1731	1525	529	162	349
PD46233a_vs_PD46233b__pv	1606	5490	1736	7344	2074	293	3243	1810	933	1183	2749	2102	1127
PD46234a_vs_PD46234b__pv	94	35	747	1151	725	923	193	732	1526	991	533	253	362
PD46235a_vs_PD46235b__pv	4250	2011	853	845	3881	1414	616	458	2913	2161	748	895	602
PD46236a_vs_PD46236b__pv	1736	1093	567	2029	2838	1054	686	832	1991	3116	739	273	524
PD46237a_vs_PD46237b__pv	13526	2614	1774	4656	2407	1438	3104	1577	2463	1890	1755	850	1440
PD46238a_vs_PD46238b__pv	1214	639	1152	5105	0	502	666	1119	1915	827	879	532	1618
PD46239a_vs_PD46239b__pv	2330	1961	720	1175	1734	712	939	625	1412	1165	421	483	395
PD46240a_vs_PD46240b__pv	690	502	722	1464	1194	1007	65	675	1295	637	565	0	516
PD46241a_vs_PD46241b__pv	13868	6677	1402	3488	3911	824	4285	1075	2300	3212	1620	1109	1488
PD46242a_vs_PD46242b__pv	10521	60238	2020	2606	1466	2725	3500	1945	0	2078	4986	4055	545
PD46243a_vs_PD46243b__pv	637	815	496	2029	2380	2402	700	1044	3540	950	0	1373	1440
PD46244a_vs_PD46244b__pv	228	56	749	530	2693	1802	64	215	623	2130	307	75	294
PD46245a_vs_PD46245b__pv	0	0	628	3779	1078	233	330	918	608	2469	3624	1836	1130
PD46246a_vs_PD46246b__pv	1850	4477	1092	4948	2707	1482	2265	1600	2897	1165	3279	1489	2106
PD46247a_vs_PD46247b__pv	1612	3521	1482	2094	4886	2169	1396	542	1899	1731	766	903	831
PD46248a_vs_PD46248b__pv	15381	9472	1118	383	1682	1868	7678	1005	1267	1319	444	583	362
PD46249a_vs_PD46249b__pv	10312	6859	626	1692	2914	1755	5697	1238	2334	3420	511	93	292
PD46250a_vs_PD46250b__pv	155	0	1039	2852	489	128	135	829	0	454	763	3271	718
PD46251a_vs_PD46251b__pv	365	592	2887	0	8918	1548	455	24715	723	1331	0	623	1330
PD46252a_vs_PD46252b__pv	1043	2378	0	0	506	0	0	2971	0	22765	986	1742	1711
PD46253a_vs_PD46253b__pv	5399	6598	980	1049	3206	4321	953	490	2439	1878	1938	642	608
PD46254a_vs_PD46254b__pv	4896	3934	951	905	1885	2540	2025	322	947	1925	865	288	333
PD46255a_vs_PD46255b__pv	416	523	893	876	2658	1524	1347	117	1132	1952	213	774	953
PD46256a_vs_PD46256b__pv	1221	3315	735	549	2413	1067	210	670	1486	930	1329	130	544
PD46257a_vs_PD46257b__pv	157	82	711	512	3026	752	43	496	1322	1981	260	435	290
PD46258a_vs_PD46258b__pv	3690	2526	705	2296	1191	1554	1340	747	1454	1788	1076	748	794
PD46259a_vs_PD46259b__pv	1842	2026	717	2926	878	1820	1259	702	2249	894	611	933	865
PD46260a_vs_PD46260b__pv	252	243	324	466	970	1024	169	679	2436	1093	570	2726	240
PD46261a_vs_PD46261b__pv	351	338	614	1011	1064	422	306	489	1223	775	192	366	362
PD46262a_vs_PD46262b__pv	651	592	143	876	880	459	76	195	738	396	379	617	504
PD46263a_vs_PD46263b__pv	4773	1773	539	799	833	1349	1710	431	220	2859	239	58	293
PD46264a_vs_PD46264b__pv	2809	2224	467	2715	600	1340	1118	770	909	1542	301	848	773
PD46265a_vs_PD46265b__pv	5621	4753	663	1428	2065	1477	2046	688	2473	1653	374	672	603
PD46267a_vs_PD46267b__pv	1	10	57	148	50	0	30	37	147	9	57	34	22
PD46268a_vs_PD46268b__pv	1672	84	465	914	1554	651	610	716	1946	1400	813	590	848
SLX-16751	1731	1237	334	446	1003	342	464	178	673	714	334	170	185
SLX-16752	4695	8854	791	833	956	482	4176	97	728	799	437	224	260
SLX-18929	129273	122670	50249	66829	58651	52183	58114	34771	62316	75148	29491	31250	32835
SLX-18949	14124	12922	969	1474	2123	1378	7252	763	1382	2022	738	529	748
