Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	1976	1518	580	1576	4204	1735	876	4835	3684	1807	642	389	398
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	8034	4196	662	1196	2087	2704	2596	269	1164	1100	544	73	777
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	2574	1627	672	1466	1103	869	1845	632	1777	1616	401	430	473
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	5506	3389	171	885	2206	871	2124	1179	3476	5563	562	316	254
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	2846	2777	649	1337	1291	2310	1967	775	1978	1194	623	150	471
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	12309	13523	723	0	788	1269	5514	165	1516	1286	2371	494	615
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	12670	34722	276	3993	192	1764	17907	1678	1283	1686	535	1017	3170
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	4365	2508	567	2556	684	1522	2421	720	1717	1743	981	1434	638
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	3879	748	1394	3350	3782	4110	662	585	1679	2967	1267	5591	907
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	463	2495	0	1302	5247	1033	432	3775	6784	2936	1732	347	757
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	14296	19517	939	912	1789	2147	3681	129	1195	1047	644	129	665
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	20	524	322	1580	251	0	0	443	112	58	498	181
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	13219	1594	835	1074	1960	767	2174	525	1228	1272	161	276	206
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	2147	3986	722	817	2602	2738	607	371	2244	1528	2313	894	677
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	1329	3968	821	1139	2737	231	604	405	932	541	2085	2810	628
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	2202	4932	168	1295	1117	866	1614	2108	4476	1024	2509	587	205
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	311	113	460	453	476	282	95	21	527	610	108	103	160
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	2560	2481	1041	1659	1328	1219	889	577	1832	1013	1269	676	788
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	1806	1277	931	1564	3199	1650	892	1130	2819	3726	945	269	109
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	1864	1349	669	1471	2294	832	1335	885	2599	2217	454	1085	569
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	530	300	299	225	418	309	351	0	505	250	94	132	133
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	8447	3457	498	911	485	2025	4612	324	2755	1731	845	1016	0
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	460	409	879	1255	1473	788	448	949	1852	3241	446	474	391
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	3422	3617	730	1234	1120	917	926	380	1334	1796	886	423	539
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	8654	5758	343	1573	1256	891	5822	1146	1829	1330	441	696	244
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	507	109	776	2399	3027	1340	22	819	2119	2840	490	688	692
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	10027	5153	732	1281	1291	2645	3448	1344	2914	3651	594	514	626
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	10276	10904	259	754	1448	2282	5289	822	3762	982	1175	1129	462
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	8965	9702	600	1669	793	738	2448	871	1678	1106	1265	1391	471
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	6529	5186	504	2470	1722	1769	2430	1770	2976	5423	1373	1268	688
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	2	0	5	3	15	7	3	0	1	0	4	4	0
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	1664	842	860	994	1805	1944	633	441	880	2152	607	0	792
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	7398	5736	1044	1460	2022	2746	2062	341	1303	1869	2708	375	821
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	15842	7178	186	446	806	2290	9954	0	1187	1222	380	853	452
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	2102	1071	756	1325	1888	2596	1067	327	1642	1954	724	808	679
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	7960	3956	869	1155	1468	2360	2237	419	2085	2277	315	319	758
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	24888	14762	762	0	1963	1494	4804	448	1441	1748	1053	874	801
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1203	747	472	752	1977	961	529	379	999	2248	277	46	366
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	685	364	419	520	900	500	240	130	712	655	106	260	201
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	7387	5384	1088	1888	1854	1649	2890	941	3443	5557	1577	1022	572
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	423	270	862	589	1863	1882	110	0	838	2734	416	156	87
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	26022	23827	634	646	936	0	13497	275	909	1387	833	1145	0
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	1415	748	907	878	571	88	704	0	1306	235	274	18	0
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	7541	5600	812	1351	1356	625	1600	149	1440	1226	793	301	57
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	1	0	65	0	73	20	9	0	40	11	12	9	33
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	1566	1324	343	201	390	331	668	0	537	631	142	158	84
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	11368	7218	1014	2043	3207	4831	5032	1350	4119	4366	1234	152	1001
