Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	1121	870	640	1145	373	858	885	618	1347	1459	1288	481	696	1155	1036	429
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	1872	3771	1236	3429	1915	1309	1743	1245	1618	5214	0	119	505	2075	839	439
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	1640	1987	725	491	997	1584	738	657	1461	1741	1092	544	836	650	650	337
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	2603	2700	973	1219	914	723	997	402	942	1696	1141	509	754	750	566	507
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	7767	4098	620	1620	4734	2003	946	1206	1663	2542	3344	460	635	1508	1445	508
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	3381	3127	1863	254	1307	2534	232	340	602	1238	846	606	357	2233	403	874
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	1546	1109	638	775	555	819	605	540	2104	1127	1037	131	532	212	259	227
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	1796	1431	553	3694	832	792	1476	4220	1573	1730	2838	1387	387	486	829	196
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	7649	4041	645	1801	2759	809	2314	122	978	995	810	633	159	364	668	655
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	2335	1652	605	1005	1873	1079	839	571	1447	869	1612	164	485	210	403	336
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	5130	3322	206	1939	2211	656	916	738	5096	602	3601	563	303	297	604	318
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	2643	2774	642	1114	1951	998	2069	609	1000	623	1934	355	323	313	592	428
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	11563	13371	402	827	5629	0	765	707	1203	1456	1088	52	240	2066	922	282
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	11092	34808	340	0	17406	2462	1056	1057	1647	4061	0	2102	702	664	1388	2108
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	4022	2513	510	619	2494	2032	1328	667	1549	1111	1563	171	1329	652	843	453
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	3783	643	1250	3432	732	1180	3943	521	2675	1832	1930	445	4923	534	2403	695
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	306	2423	0	4608	272	1375	839	3128	2442	1041	6169	1283	238	1319	1151	709
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	13743	18928	922	1502	3939	577	1900	0	919	898	1140	912	231	387	511	581
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	3	484	1490	0	181	278	0	87	291	304	47	380	67	262	115
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	12573	1297	927	1608	2708	1145	677	0	1145	533	846	969	249	55	311	248
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	2108	3914	589	2347	484	97	2279	494	1378	1378	1798	444	795	1910	1156	475
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	1273	3874	821	2394	576	251	228	188	522	1174	574	855	2282	1739	1046	433
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	1996	4888	400	800	1572	1367	859	1307	701	0	4764	918	759	1745	614	413
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	289	100	432	420	97	164	279	0	572	500	343	117	130	69	118	89
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	2442	2413	1018	1130	915	680	1206	350	911	1473	1540	491	821	907	447	588
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	1670	1206	1071	2730	892	1134	1603	447	3383	782	2587	1100	394	609	552	157
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	1667	1336	710	1990	1331	745	829	517	2005	1268	2156	667	964	254	749	435
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	484	302	280	380	346	22	253	0	235	438	270	74	100	95	199	68
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	7792	3525	480	450	4753	1228	1504	354	1488	320	2439	94	704	634	1298	43
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	375	392	899	1282	434	1153	713	626	2975	507	1687	501	405	289	474	353
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	3244	3497	669	997	962	847	692	350	1689	1239	756	393	331	789	547	322
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	7897	5740	729	833	5974	1127	759	104	1221	1028	1082	1601	618	316	650	304
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	454	26	798	2646	0	1731	1153	499	2631	1698	1203	842	606	415	712	414
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	9451	5009	734	1096	3661	1314	2169	1029	3291	729	2699	603	403	326	1096	610
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	9578	10823	239	1236	5343	164	1727	767	788	1651	3020	580	808	920	1576	324
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	8505	9428	477	750	2641	1594	492	974	964	872	1444	263	1089	1041	851	312
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	6103	5059	492	1516	2520	2004	1474	1432	5016	1459	2597	719	1068	1048	1101	500
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	2	0	4	13	3	1	7	2	0	1	3	0	5	2	1	0
