Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	2553	0	3814	10451	2414	0	2684	29464	122	4886	6578	3291	21	1174	1256	1613
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	0	2	109	22	0	17	2	0	0	0	0	0	6	0	0	13
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	9392	7064	904	851	1381	270	937	508	2438	4304	2816	1049	730	2718	1183	1511
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	8190	1965	411	620	3361	2090	1142	835	1574	2511	747	403	359	372	999	599
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	15251	16725	1305	1859	3312	747	909	478	1213	852	1117	948	624	1949	501	599
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	229	325	531	587	170	69	495	9	161	778	875	265	50	321	295	65
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	1047	614	313	609	400	1323	492	872	1149	950	1568	147	1294	315	792	555
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1144	595	1084	2654	284	1657	3724	860	2157	2276	1485	401	4204	463	3717	1034
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	1529	409	514	1306	842	937	905	259	1257	1745	352	446	160	679	382	248
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	509	3190	799	359	2858	1378	530	448	338	2014	0	613	777	1327	303	795
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	2661	1167	581	960	1035	2716	372	1125	3480	2514	897	792	1098	1621	533	1768
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	2342	1844	963	1499	1208	2041	2103	962	4025	1604	1488	819	571	718	810	476
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	0	0	46	29	10	5	7	15	1	0	0	8	2	8	0	0
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	140	665	375	1211	172	1280	731	816	5986	390	1267	169	506	415	462	335
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	1095	691	416	416	557	444	370	120	480	362	451	152	183	187	181	41
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	1052	810	111	768	472	55	1206	452	664	0	694	0	503	314	70	1995
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	2153	2778	0	1124	1762	4578	76	1319	877	276	95	0	920	0	694	1274
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	1129	878	497	537	414	257	262	0	528	255	425	148	125	124	114	146
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	3130	2369	109	1446	1875	2451	1423	1468	2553	646	1859	344	683	432	713	672
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	0	501	582	0	0	101	739	736	317	0	331	7204	0	2318	26
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	224	298	648	691	65	310	432	52	438	495	228	219	96	212	236	168
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	1185	1051	504	819	584	361	430	90	730	574	865	282	191	187	253	296
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	0	0	504700	118377	26421	172804	156727	24628	6215	26079	0	32207	28818	0	3832	11992
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	2601	1762	640	770	814	365	403	83	772	575	368	211	173	461	232	145
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	1572	1173	0	1468	1046	1553	657	1595	2898	4051	1828	734	342	415	770	1137
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	4112	3123	1321	2117	1286	775	600	137	1505	1415	1321	534	598	713	847	315
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	28	97	540	1263	79	185	308	176	1356	604	1244	441	317	423	318	215
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	4537	2142	798	2186	1407	513	714	274	2057	229	1855	824	304	285	738	383
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	2087	4794	431	723	1466	0	301	97	549	709	677	238	497	862	110	171
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	2934	1987	554	949	768	688	551	296	1963	657	1553	243	266	424	191	217
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	537	65	479	932	271	264	363	150	581	494	609	440	83	78	197	236
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	343	239	379	349	126	227	197	0	224	54	309	205	70	162	55	121
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	1091	652	1079	1710	402	567	783	0	1345	1206	1246	737	236	270	388	296
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	544	310	261	257	275	356	311	169	465	182	372	100	93	202	25	128
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	257	0	419	1017	50	330	253	89	826	412	601	248	62	19	196	180
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	19223	17047	1829	1393	8871	2488	2124	1372	6657	2127	3738	1295	781	1830	1053	0
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	4706	2981	650	959	1278	323	411	272	1221	798	457	357	170	194	230	92
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	2537	1785	816	823	1165	758	682	368	917	424	1036	501	231	273	459	194
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	3696	3787	602	1230	1958	617	680	294	3222	1031	1294	762	205	566	404	61
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	1888	2082	481	983	1049	113	476	116	624	528	687	302	139	165	166	177
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	225	103	316	298	44	312	240	20	254	18	311	72	61	15	98	189
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	2250	2065	728	1645	1028	532	772	607	1577	1562	2010	209	535	642	513	462
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	2514	1884	634	904	717	234	1059	33	1467	850	972	163	141	356	185	45
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	6161	5415	756	3072	3631	61	1320	0	1916	1404	2831	713	128	949	268	541
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	3489	3145	1340	3124	1346	807	2055	393	4758	1565	3074	1396	953	1495	1024	393
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	11929	8919	771	1098	4738	714	539	300	1350	211	1225	394	664	766	259	124
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	2240	1640	886	2318	638	968	1076	249	2290	1615	1382	748	373	316	528	130
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	3984	1816	705	707	1298	698	545	134	1190	962	593	481	149	181	292	214
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	5387	3941	543	1544	1530	667	763	512	2396	1597	1381	572	336	572	479	383
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	4193	386	905	1657	524	358	252	0	854	695	636	657	81	301	348	302
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	2293	823	701	491	883	589	394	171	904	800	734	471	259	179	385	250
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	12979	7209	765	2143	4411	744	987	357	1833	951	2131	631	351	541	429	310
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	463	396	532	1037	142	196	308	0	659	374	429	288	68	161	155	49
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	34896	33014	814	1494	13117	733	309	793	2429	2834	2744	1049	983	1802	787	223
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	1616	900	1222	933	319	501	742	121	763	1093	296	442	122	173	144	248
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	2803	4311	586	779	1699	264	383	9	769	443	826	525	380	473	223	392
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	9582	13601	484	983	4062	2195	554	1315	1828	1939	2662	711	1235	1226	609	1016
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	3212	2844	709	2140	626	393	788	36	2030	1111	668	692	237	469	279	205
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	6023	195	500800	118029	26294	172607	157307	23761	7253	30541	0	32780	28432	328	4336	10098
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	7701	10876	1227	637	2350	524	568	558	1107	1340	938	751	1283	2719	1100	635
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	680	515	464	920	408	338	318	94	436	496	647	306	95	132	279	83
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	4606	3279	691	1237	2701	537	725	103	1098	186	1121	498	356	344	923	357
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	10066	9039	871	2187	5351	1257	3807	591	2591	894	3479	831	708	1241	1392	450
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	0	5	76	37	4	48	0	12	7	0	0	14	6	7	12	0
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	2424	3714	467	471	1203	82	394	81	770	432	634	319	597	575	322	144
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	7016	5072	329	718	3134	100	691	367	1749	1001	1803	260	409	648	222	0
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	1884	2235	689	986	852	192	551	101	1573	679	738	474	265	503	139	226
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	1628	1859	802	1158	826	1253	1954	63	1018	1644	1179	555	450	277	560	492
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	2554	2768	901	1908	1361	849	1018	590	1602	1039	2081	790	335	607	549	316
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	662	620	729	998	230	491	357	85	614	451	391	249	170	240	309	181
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	7744	9420	821	1976	3034	1656	1212	1459	2890	363	6635	1111	2104	2343	1104	490
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	2613	3682	560	919	303	355	311	90	739	509	709	499	283	539	179	243
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	2505	1908	856	2978	940	713	415	0	488	2448	662	459	788	878	678	365
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	4799	4506	712	1963	2442	763	1022	334	1457	464	2083	776	395	474	1061	384
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	2201	2957	1263	747	1831	1077	799	783	2340	1395	1401	665	1204	154	1311	270
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	1504	1078	562	2612	436	1723	637	1160	1331	2020	2238	533	599	632	687	787
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	499	769	538	3700	380	176	377	443	1125	1763	1310	424	567	79	1262	557
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	3865	2050	968	2162	1854	3337	1118	1351	1855	4117	2163	886	1031	957	888	1311
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	797	391	816	1632	208	722	1279	0	1397	1446	404	719	419	318	1035	154
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	4310	1824	447201	100034	21385	143974	136795	20495	7126	41080	0	23051	25288	2785	5706	4343
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	1172	1401	964	937	737	2304	1525	1572	2431	4010	1974	687	2583	0	2991	1084
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	86	119	643	673	119	893	378	485	889	187	1429	186	550	84	594	166
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	2611	1698	491	1269	636	906	594	755	456	1284	1003	75	269	396	467	251
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	3285	0	17257	13512	3067	0	2915	49779	995	1766	8200	9940	77	0	271	0
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	2508	14822	463	1104	0	2342	513	536	717	222	1680	1150	2560	2373	133	293
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	385	79	0	227	38	1731	480	1258	1063	1851	115	0	402	545	432	2317
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	1307	1330	1060	1562	669	1017	772	360	674	608	1208	336	499	408	983	471
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	613	1086	803	1119	515	1044	486	203	1302	1348	581	327	540	431	431	390
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	444	0	753	1418	245	2460	951	1310	3470	3152	717	229	1369	913	910	721
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	1837	970	1068	2753	479	289	2876	1339	5701	2199	2312	505	714	2849	1049	542
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	2706	1665	805	1722	899	1642	767	727	2110	2004	1140	855	773	506	944	606
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	7205	5507	807	1460	4008	538	1091	428	1997	1844	1320	802	454	905	575	192
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	2282	3689	0	2560	2019	2356	751	2890	7706	791	5713	1032	1029	1285	786	537
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	25242	18926	710	937	10599	1673	145	134	1093	429	1150	1302	405	1366	601	612
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	2665	1789	1257	1916	907	3106	456	1055	2378	5012	1355	690	777	1115	953	1318
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	3794	4797	8935	12192	3720	0	3863	49979	0	2659	2234	6958	17	1184	544	0
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	2163	2038	12	1384	1214	960	1417	1024	1833	2465	2165	606	498	387	728	451
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	7918	7221	937	1518	1338	519	656	1532	1330	799	2778	350	985	3409	729	570
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	2007	2272	729	1371	829	815	2040	0	1046	1450	1270	583	509	412	726	374
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	3533	2379	631	827	1471	681	638	170	719	635	653	383	287	75	214	99
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	4871	6617	533	1310	4020	937	1396	307	1567	1628	1431	317	356	52	786	467
PD44724a_vs_PD44724b__pv	5720	6009	48	2872	3860	1274	1043	729	1847	823	1879	871	1117	1614	1645	716
PD44725a_vs_PD44725b__pv	2098	2474	834	1604	1084	919	581	483	1043	763	1126	716	407	515	337	478
PD44726a_vs_PD44726b__pv	1697	770	385	709	569	287	783	0	1120	312	221	524	152	170	355	253
PD44727a_vs_PD44727b__pv	8546	3588	609	2008	1497	0	741	478	513	3137	49	560	639	3993	841	738
PD44728a_vs_PD44728b__pv	1298	431	786	1494	743	2010	1237	791	1662	1240	1787	886	1477	637	634	741
PD44729a_vs_PD44729b__pv	325	157	618	2346	261	983	1290	244	2045	1941	401	983	259	428	601	330
PD44730a_vs_PD44730b__pv	3451	2699	1009	1473	1362	1823	1042	394	1412	1693	30	813	604	640	675	712
PD44731a_vs_PD44731b__pv	576	525	491	2522	174	916	690	195	911	1064	948	821	547	240	514	298
PD44732a_vs_PD44732b__pv	128	155	491	1301	58	293	1692	117	779	427	868	326	0	88	846	374
PD44733a_vs_PD44733b__pv	0	875	12232	11364	882	0	557	49091	980	0	2540	8824	271	108	1071	1909
PD44734a_vs_PD44734b__pv	4362	3056	243	1331	2434	1562	2540	688	1731	2497	1733	710	434	923	1090	687
PD44735a_vs_PD44735b__pv	2829	1984	539	3065	1106	1240	1309	760	2452	1754	2408	838	407	245	1043	518
PD44736a_vs_PD44736b__pv	1539	2506	567	1704	712	1200	1245	940	1894	1711	1727	1295	636	1720	472	869
PD44737a_vs_PD44737b__pv	2366	1765	1397	2398	831	1364	963	200	3097	1770	1082	1150	1237	1034	441	237
PD44738a_vs_PD44738b__pv	8475	7272	820	2509	2658	1628	913	765	1950	4277	1501	1122	1150	4538	635	917
PD44739a_vs_PD44739b__pv	3039	2921	657	1402	2667	1522	1035	442	2023	1364	1238	546	384	450	403	317
PD44740a_vs_PD44740b__pv	27300	19377	1433	1110	13791	3090	3104	1034	1263	3105	309	1111	455	0	1601	2599
PD44741a_vs_PD44741b__pv	645	402	1216	1346	430	1240	1390	261	871	1610	479	773	593	708	1017	313
PD44742a_vs_PD44742b__pv	1279	4947	1413	522	2440	4329	359	1012	1983	0	1833	2713	3137	1032	930	596
PD44743a_vs_PD44743b__pv	1624	741	900	1589	855	831	936	350	2019	2285	0	879	282	406	822	596
PD44744a_vs_PD44744b__pv	10519	10531	613	1787	6288	232	1434	732	1245	1138	837	604	731	384	4500	358
PD44745a_vs_PD44745b__pv	13381	8136	113	2613	5653	3280	2643	953	2108	3214	3114	1028	2016	1803	1696	0
PD44746a_vs_PD44746b__pv	235	115	449	717	12	561	344	352	893	553	1070	485	314	146	326	323
PD44747a_vs_PD44747b__pv	2792	2789	514	1091	1159	1103	674	21	1281	758	791	943	472	697	320	293
PD44749a_vs_PD44749b__pv	1983	2469	731	348	877	827	560	72	395	685	402	483	720	234	431	250
PD44751a_vs_PD44751b__pv	753	682	126	588	469	117	141	176	427	135	379	161	90	109	74	130
PD44752a_vs_PD44752b__pv	1790	610	566	1848	727	883	812	295	3974	1333	1050	636	473	293	646	294
PD44753a_vs_PD44753b__pv	450	393	1189	929	316	1263	1498	350	800	1345	926	641	282	471	688	148
PD44758a_vs_PD44758b__pv	5114	3035	881	820	1339	874	409	377	528	368	1121	604	447	557	267	250
PD44759a_vs_PD44759b__pv	2318	1696	639	1177	488	1063	745	863	1851	1887	1351	465	266	856	644	493
PD44760a_vs_PD44760b__pv	1331	2574	942	1298	867	1420	818	141	891	1140	786	774	796	698	81	584
PD44761a_vs_PD44761b__pv	607	388	1245	2833	310	1735	604	192	1570	2213	710	847	494	809	386	474
PD44762a_vs_PD44762b__pv	157	85	547	1032	20	644	903	225	387	844	585	459	240	302	509	115
PD44763a_vs_PD44763b__pv	2058	2045	302	1682	1623	1473	894	724	1796	1786	919	842	404	506	875	665
PD44764a_vs_PD44764b__pv	683	695	267	1286	198	764	169	759	458	1812	1239	273	2184	1008	655	494
PD44765a_vs_PD44765b__pv	13103	23078	492	1753	4342	2158	2439	675	1164	2429	2499	1754	916	1193	1597	760
PD44766a_vs_PD44766b__pv	1649	0	5606	18418	3461	0	0	39739	242	0	4946	17234	169	133	150	0
PD44767a_vs_PD44767b__pv	5741	12529	2179	832	2351	3607	408	189	864	0	1127	2997	1401	1556	377	455
PD44769a_vs_PD44769b__pv	193	0	460	1094	0	1227	661	333	884	1902	715	421	155	0	638	500
PD44770a_vs_PD44770b__pv	2843	2678	177	4751	815	425	0	14286	376	0	463	13474	334	292	562	1343
PD44772a_vs_PD44772b__pv	2794	1142	995	1664	1292	2742	623	1128	3063	2314	1384	748	2036	1794	1493	957
PD44773a_vs_PD44773b__pv	3353	2388	1549	5161	1861	1128	1551	0	1097	2540	753	685	429	28	525	468
PD44774a_vs_PD44774b__pv	14	247	860	2045	92	441	450	20	141	1263	497	247	582	131	678	390
PD44775a_vs_PD44775b__pv	284	901	0	42105	0	0	6034	53320	3037	0	0	682	165	0	380	42
PD44776a_vs_PD44776b__pv	4344	15327	573	857	7546	3632	454	560	695	2179	0	1048	2005	1066	468	1010
PD44777a_vs_PD44777b__pv	682	328	87	2000	476	755	772	1064	2358	2142	1967	411	222	334	440	262
PD44778a_vs_PD44778b__pv	1286	4856	1446	2139	1222	1647	768	388	447	1289	1508	779	1100	2608	594	656
PD44780a_vs_PD44780b__pv	69	42	591	892	19	100	436	0	1408	1055	123	357	105	238	387	59
PD44781a_vs_PD44781b__pv	11666	7839	302	1462	6263	977	1384	1368	684	1809	3100	848	242	1136	2451	672
PD44782a_vs_PD44782b__pv	12917	15870	46	1376	7193	1468	950	792	1462	1111	1972	690	2276	981	1534	610
PD44783a_vs_PD44783b__pv	2770	1287	1463	212	1077	1661	113	756	1346	2374	598	1183	112	4645	628	895
PD44784a_vs_PD44784b__pv	667	312	772	2334	404	3089	1116	784	3580	2424	812	1101	718	717	302	643
PD44785a_vs_PD44785b__pv	7634	6622	844	802	5821	1374	940	592	885	1591	1168	783	365	812	893	589
PD44786a_vs_PD44786b__pv	802	312	281	762	358	115	510	148	278	544	800	335	153	401	414	107
PD44787a_vs_PD44787b__pv	778	1016	886	1989	172	1175	885	422	3263	937	812	618	390	874	638	493
PD44788a_vs_PD44788b__pv	2131	1549	84	1450	1267	2142	928	1496	3560	1582	2473	64	1491	779	867	447
PD44789a_vs_PD44789b__pv	3862	3455	231	1733	1016	2055	1751	1596	1478	4416	1950	322	836	397	1902	1072
PD44790a_vs_PD44790b__pv	4380	5216	645	803	1117	1050	804	670	1646	1100	882	707	611	1359	552	297
PD44791a_vs_PD44791b__pv	3307	2017	372	607	654	248	232	98	509	191	669	325	27	340	75	135
PD44792a_vs_PD44792b__pv	7710	11477	697	156	4563	922	1990	433	1587	262	2395	779	696	898	945	182
PD44793a_vs_PD44793b__pv	394	260	546	1553	89	385	1106	298	1184	1172	510	635	320	144	442	426
PD44794a_vs_PD44794b__pv	346	28	230	905	22	2265	619	790	1349	3332	0	423	765	371	1198	947
PD44795a_vs_PD44795b__pv	9200	12448	90	760	5573	967	150	794	1300	974	655	569	432	637	504	135
PD44796a_vs_PD44796b__pv	1569	1761	1287	2095	1625	4425	457	1150	1627	4025	619	1351	1318	572	548	987
PD44797a_vs_PD44797b__pv	3090	2471	932	2225	2412	2842	1140	742	4103	1562	3556	2197	1257	822	881	752
PD44798a_vs_PD44798b__pv	1205	544	420	1243	465	934	876	70	1400	924	871	748	306	227	280	208
PD44799a_vs_PD44799b__pv	1518	581	929	1752	399	963	1111	173	1760	971	1197	983	387	383	432	365
PD44800a_vs_PD44800b__pv	2931	1750	988	1648	1023	1076	1022	332	2499	1107	1539	1068	882	609	755	542
PD44801a_vs_PD44801b__pv	4198	2518	596	2096	832	327	1078	354	2413	1023	1139	978	64	459	525	286
PD44802a_vs_PD44802b__pv	115	174	373	691	68	301	493	111	398	702	364	345	121	236	186	197
PD44803a_vs_PD44803b__pv	4424	4011	1696	2525	1479	1216	1505	584	4482	3571	1986	1563	668	1065	739	712
PD44804a_vs_PD44804b__pv	777	775	292	573	550	511	488	229	536	691	159	278	50	165	196	271
PD44805a_vs_PD44805b__pv	8561	19628	921	1407	6035	1995	2267	0	1086	0	1169	1618	906	443	2545	117
PD44807a_vs_PD44807b__pv	118	190	618	784	243	1000	596	177	222	704	889	160	422	276	721	333
PD44808a_vs_PD44808b__pv	679	321	479	1114	127	1320	682	609	885	2869	700	806	2431	297	587	1029
PD44809a_vs_PD44809b__pv	1252	1157	227	1712	329	1451	458	430	1119	2962	1672	549	494	988	764	884
PD44810a_vs_PD44810b__pv	3429	5503	496	2141	4438	0	3949	1804	1128	2760	338	627	204	1044	3370	0
PD44811a_vs_PD44811b__pv	2694	1519	196	834	766	1315	445	1026	1041	258	2284	315	548	450	452	295
PD44813a_vs_PD44813b__pv	2174	3209	646	1334	1146	987	733	458	631	1274	1195	853	700	742	341	332
PD44814a_vs_PD44814b__pv	654	454	1110	1603	347	2832	554	558	1833	2853	334	1069	754	687	331	850
PD44815a_vs_PD44815b__pv	1827	1399	753	515	734	951	626	463	758	589	1619	557	1247	1011	485	462
PD44816a_vs_PD44816b__pv	1651	718	566	2783	160	1188	1303	569	1893	1078	1506	757	234	558	616	375
PD44817a_vs_PD44817b__pv	0	0	586	525	93	1569	1212	979	2680	2191	340	207	312	112	996	781
PD44818a_vs_PD44818b__pv	5417	5764	697	1023	1262	1189	1319	416	1062	738	1055	626	365	823	422	496
PD44819a_vs_PD44819b__pv	15369	13036	1562	1705	5044	2939	2401	429	2514	808	1154	1689	921	2065	715	1096
PD44820a_vs_PD44820b__pv	1408	1084	727	1437	295	849	725	258	1472	422	1156	921	483	567	449	372
PD44821a_vs_PD44821b__pv	4373	3413	715	1594	1184	835	1830	227	1736	558	1707	886	391	1267	792	535
PD44823a_vs_PD44823b__pv	824	386	784	866	475	836	729	177	734	503	813	606	620	350	364	339
PD44824a_vs_PD44824b__pv	2515	3478	948	2802	1277	1238	936	212	2081	1336	1271	1564	1679	671	897	716
PD44825a_vs_PD44825b__pv	3256	5271	1711	16223	1232	0	3475	42349	0	6464	11274	20567	0	6406	2804	0
PD44826a_vs_PD44826b__pv	1885	1561	617	1951	826	1445	1547	785	2049	1540	1121	870	638	389	620	622
PD44827a_vs_PD44827b__pv	1117	941	610	827	391	1072	389	1317	1255	211	1700	181	525	545	340	448
PD44828a_vs_PD44828b__pv	7885	6864	540	2228	3691	1511	869	800	2099	442	1954	559	484	92	586	709
PD44829a_vs_PD44829b__pv	3668	1097	1691	4146	1215	2894	2272	1354	5836	3255	1039	1707	1199	2857	913	1298
PD44830a_vs_PD44830b__pv	3384	1707	387	2439	635	264	1314	595	4926	1894	994	1096	377	1153	721	74
PD44831a_vs_PD44831b__pv	15334	12809	1961	945	11964	687	2032	720	0	32	2932	1201	39	647	2587	628
PD44832a_vs_PD44832b__pv	1408	2792	0	11508	0	0	7195	33728	2660	1288	1700	14074	336	0	493	521
PD44833a_vs_PD44833b__pv	11197	10897	508	923	6639	2452	648	778	1679	2469	1105	818	662	16	503	240
PD44834a_vs_PD44834b__pv	1478	1601	1065	1213	1039	2034	925	497	529	1568	794	602	1228	464	377	424
PD44835a_vs_PD44835b__pv	2182	911	564	733	512	1367	666	758	3100	796	1254	372	1190	750	576	66
PD44836a_vs_PD44836b__pv	1836	2550	801	3512	799	2347	2382	1607	1460	1936	3113	996	653	2055	904	1165
PD44837a_vs_PD44837b__pv	771	395	236	507	201	204	747	0	613	399	407	278	100	95	139	181
PD44838a_vs_PD44838b__pv	464	350	0	2580	190	2888	1661	1190	2095	7133	1387	269	530	0	1968	616
PD44839a_vs_PD44839b__pv	460	1134	739	1792	240	571	476	341	1008	1614	534	1060	2133	922	588	294
PD44840a_vs_PD44840b__pv	3088	3131	625	1211	1492	1182	928	289	1104	1585	890	1013	171	709	549	169
PD44841a_vs_PD44841b__pv	6839	4717	7090	11605	3334	0	2640	36151	642	0	5578	12238	359	3636	1070	219
PD44842a_vs_PD44842b__pv	21	538	629	1188	570	579	562	210	1207	630	561	634	387	217	617	287
PD44843a_vs_PD44843b__pv	3497	8787	990	2783	2357	1673	1335	684	2393	3413	758	1229	1356	1768	950	861
PD44844a_vs_PD44844b__pv	278	176	512	1351	0	839	708	271	1797	760	869	482	448	283	298	319
PD44845a_vs_PD44845b__pv	2657	903	1094	1811	890	759	2569	0	2348	449	1117	439	243	362	994	550
PD44846a_vs_PD44846b__pv	6066	1243	349	926	3286	324	846	912	1538	1158	1128	140	94	360	519	311
PD44847a_vs_PD44847b__pv	2190	2012	625	2200	427	873	817	177	1012	785	1265	654	445	785	359	547
PD44848a_vs_PD44848b__pv	7191	11758	3171	1152	2520	5410	1886	1247	1343	1338	3359	2463	3076	2388	1034	1751
PD44849a_vs_PD44849b__pv	398	330	664	1794	385	2550	2152	1256	3246	1740	1617	797	506	0	1195	818
PD44850a_vs_PD44850b__pv	2912	6607	1324	2892	2487	1750	1054	0	1061	368	1632	1284	949	1017	482	592
PD44851a_vs_PD44851b__pv	2146	1592	404	1902	682	375	626	734	1009	939	1739	476	1082	742	1427	568
PD44852a_vs_PD44852b__pv	2024	2746	1132	2093	993	3843	358	665	1309	2571	1030	1147	519	799	451	1244
PD44853a_vs_PD44853b__pv	1734	1820	422	1824	720	205	992	433	2676	569	1437	596	230	141	419	262
PD44854a_vs_PD44854b__pv	1750	1911	558	1734	1224	876	917	595	1472	1616	1622	420	699	957	1005	329
PD44855a_vs_PD44855b__pv	4265	1464	866	1389	638	698	851	690	2032	1216	1209	428	413	1048	692	735
