Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
SM-4JPUV_vs_SM-4JPUS__pv	43	1465	1102	388	1600	515
SM-4JPUW_vs_SM-4JPUS__pv	7	87	29	0	19	8
SM-4JPUX_vs_SM-4JPUT__pv	650	2587	1767	742	1697	1248
SM-4JPUY_vs_LP6005333-DNA_B01__pv	5619	2984	6604	2209	11528	3687
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	5648	3299	5905	1971	11113	3572
SM-4JPV1_vs_SM-4JPUS__pv	1598	5237	721	1218	7484	1334
SM-4JPV2_vs_SM-4JPUS__pv	2477	5777	666	1645	8912	1499
SS6003109_vs_SS6003108__pv	8299	3735	522	2455	3724	4679
SS6003111_vs_SS6003110__pv	4031	4543	3465	2984	7238	2107
SS6003113_vs_SS6003112__pv	4198	452	110	8956	3318	431
SS6003115_vs_SS6003114__pv	16080	2421	1029	6050	4330	1355
SS6003117_vs_SS6003116__pv	97	0	1412	0	1511	7816
SS6003119_vs_SS6003118__pv	71	2074	1480	449	1844	663
SS6003121_vs_SS6003120__pv	4920	3153	0	38969	0	1806
SS6003125_vs_SS6003124__pv	7271	1757	537	5063	4016	836
SS6003129_vs_SS6003128__pv	10652	3528	3895	5517	7042	2591
SS6003131_vs_SS6003130__pv	295	915	2036	375	2997	870
SS6003133_vs_SS6003132__pv	578	0	0	0	10337	4280
SS6003135_vs_SS6003134__pv	25026	880	1026	4563	2896	1373
SS6003137_vs_SS6003136__pv	1999	1893	2481	1405	6005	622
SS6003149_vs_SS6003148__pv	43890	5997	2385	10483	2334	5690
SS6003302_vs_SS6003301__pv	4176	3250	1596	3444	4458	1576
SS6003303_vs_SS6003301__pv	2710	2057	923	2595	3327	1170
SS6003305_vs_SS6003304__pv	0	5498	1260	598	3090	2642
SS6003306_vs_SS6003304__pv	0	3083	1449	701	1945	1549
SS6003308_vs_SS6003307__pv	1002	1235	2028	601	2209	1693
SS6003309_vs_SS6003307__pv	1183	1892	2293	553	3040	2350
SS6003311_vs_SS6003310__pv	315	833	0	0	19679	407
SS6003312_vs_SS6003310__pv	102	114	0	0	18899	218
SS6003314_vs_SS6003313__pv	9597	1965	1243	3016	2248	2180
SS6003315_vs_SS6003313__pv	9643	1933	1273	3069	2211	2191
SS6003317_vs_SS6003316__pv	25102	1215	1740	4467	4336	1095
SS6003318_vs_SS6003316__pv	25007	1454	1770	4617	4379	1157
SS6003320_vs_SS6003319__pv	8223	1937	3648	6660	3923	1880
SS6003321_vs_SS6003319__pv	8030	1958	3246	6328	3811	1562
SS6003323_vs_SS6003322__pv	7626	2157	4190	0	3781	1849
SS6003324_vs_SS6003322__pv	5600	2134	3499	0	3310	1700
