Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	305	963	1468	608	1680	583
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	29290	4847	3461	7212	7822	4296
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	18651	2475	1983	4142	8863	1518
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	15359	4688	908	1329	3104	1463
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	1784	830	989	748	3007	560
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	19973	3579	3270	11480	4405	1061
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	7891	5538	1837	2551	3399	1166
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	4984	2513	2191	3101	4652	2793
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	3759	958	1181	1349	2403	216
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	0	4165	446	339	1232	2595
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	72897	16312	3994	7445	0	2540
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	0	0	54444	2239	3210	1694
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	38647	0	0	13319	1030	8080
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	9719	2223	4312	12766	1210	2442
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	1182	3756	1201	509	11962	2371
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1194	2595	679	400	3667	1597
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	10888	5566	1519	3136	8903	2241
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	2903	6274	2511	4360	5346	3126
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	2450	3634	55083	0	4413	87
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	3538	2879	1097	1234	5904	1378
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	4549	1572	2500	2064	2067	593
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	4460	3200	3330	3164	4256	2196
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	2507	2907	3242	933	2768	2307
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	2479	2739	3170	981	2723	2198
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	11862	9446	510	11318	4389	1812
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	8212	1037	724	4758	2128	448
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	197	2268	2643	1557	4931	932
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	1893	683	548	975	1654	126
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	13558	3296	4158	3761	6270	3168
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	936	1840	4612	1659	3874	1166
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	6606	1883	2742	3025	5098	788
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	93	1719	2443	714	4722	1307
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	1863	3287	3674	1417	5755	2734
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	7210	9029	2479	2667	3061	1460
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	27336	3581	0	7184	1790	6327
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	1957	3166	2558	1215	3449	932
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	8998	8326	1546	0	4148	2526
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	9172	8144	1486	0	4147	2393
