Samples	SBS96A	SBS96B
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	8200	734
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	18023	45172
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	20558	99669
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	5049	4670
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	12392	3937
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	8929	3288
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	14661	11110
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	10455	2000
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	14512	3031
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	14933	28555
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	9828	1619
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	4176	395
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	12858	1393
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	14308	11609
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	11933	22928
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	8269	1387
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	6440	1632
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	7757	1135
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	10446	16667
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	10682	7863
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	22509	8230
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	14071	5041
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	8924	2744
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	4447	2022
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	10730	20817
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	12231	8025
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	10564	7562
LP6007591_vs_LP6007590__pv	19754	38557
LP6007592_vs_LP6007590__pv	8465	2888
LP6007594_vs_LP6007593__pv	15924	1391
LP6007595_vs_LP6007593__pv	7550	4768
LP6007597_vs_LP6007596__pv	17597	20340
LP6007598_vs_LP6007596__pv	6049	6238
LP6007600_vs_LP6007599__pv	5680	287
LP6007602_vs_LP6007601__pv	963	64000
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	8034	34111
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	7583	52535
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	12377	37903
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	19095	10647
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	6935	45556
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	7033	33447
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	13142	38440
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	6769	5458
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	6398	59883
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	11846	37135
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	12293	38184
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	126	9
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	7083	48217
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	13571	38553
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	15832	10432
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	6965	56894
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	14514	38921
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	13750	10188
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	8457	37713
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	13297	40060
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	9503	7478
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	8046	38826
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	14921	43262
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	16324	10337
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	7075	49716
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	13610	38295
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	19123	12216
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	19305	6419
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	25182	6244
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	10139	1830
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	9592	21703
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	6993	5536
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	15329	1968
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	10259	591
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	4380	528
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	18879	13651
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	14577	7647
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	181	0
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	9497	5739
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	10338	10840
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	14292	1515
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	56657	9583
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	17051	14233
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	79352	15613
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	11015	6414
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	4517	4911
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	19378	21521
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	9473	10848
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	13355	3104
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	25941	12499
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	14018	8976
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	48156	2677
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	42187	35305
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	8404	145
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	9078	4742
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	9100	44082
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	8409	14493
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	16310	7557
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	8254	42244
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	13150	10581
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	10691	9545
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	10702	44402
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	18590	9271
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	8582	41519
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	13544	6864
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	18576	5083
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	8049	42219
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	13211	7563
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	24588	3967
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	7805	41800
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	11337	5451
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	4730	442
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	9415	43067
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	7917	42100
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	11701	17105
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	10056	15453
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	16230	9882
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	12059	17235
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	7331	12388
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	11580	20137
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	10380	14482
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	9983	21298
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	11223	19960
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	11029	13242
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	10450	16311
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	5741	13515
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	10518	21069
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	11765	16829
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	11857	17547
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	11295	13733
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	12873	16995
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	1377	7965
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	11350	15618
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	16685	9834
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	18762	9963
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	14005	71129
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	3375	8791
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	12022	10931
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	13589	5005
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	8237	6565
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	12148	6708
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	13376	45088
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	13020	2989
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	26876	6681
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	11724	57149
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	15275	8868
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	12610	14813
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	9438	7221
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	8905	46626
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	10701	1464
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	11220	19437
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	11711	2192
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	14551	2996
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	16640	13580
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	14019	7464
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	15891	12576
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	4626	4870
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	18465	19609
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	19362	30433
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	17299	19170
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	17668	17309
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	17065	16548
