NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
183	1490.794	8.668	226.73	7.475	0.015	0.99	80000.0
184	1498.051	8.745	228.096	7.535	0.015	0.989	80000.0
185	1502.42	8.734	229.74	7.538	0.015	0.989	60000.0
186	1501.128	8.707	228.615	7.52	0.015	0.989	140000.0
187	1493.035	8.655	228.162	7.488	0.015	0.99	100000.0
188	1494.968	8.673	227.74	7.461	0.015	0.99	50000.0
189	1499.081	8.703	228.15	7.503	0.015	0.99	130000.0
190	1488.563	8.662	226.549	7.467	0.015	0.99	90000.0
191	1495.717	8.683	227.958	7.462	0.015	0.99	80000.0
192	1499.356	8.668	228.146	7.45	0.015	0.99	100000.0
193	1495.778	8.711	228.181	7.511	0.015	0.99	90000.0
194	1498.803	8.681	227.758	7.483	0.015	0.99	60000.0
195	1490.442	8.659	227.519	7.451	0.015	0.99	100000.0
196	1499.734	8.695	229.918	7.544	0.015	0.989	80000.0
197	1496.15	8.675	228.489	7.495	0.015	0.99	110000.0
198	1492.479	8.678	227.504	7.499	0.015	0.99	140000.0
199	1492.231	8.673	227.099	7.479	0.015	0.99	70000.0
200	1497.509	8.676	228.581	7.47	0.015	0.99	80000.0
201	1497.657	8.726	228.172	7.528	0.015	0.989	110000.0
202	1492.589	8.669	226.789	7.484	0.015	0.99	80000.0
203	1496.6	8.743	227.891	7.485	0.015	0.99	70000.0
204	1497.523	8.698	228.576	7.533	0.015	0.989	140000.0
205	1492.39	8.659	227.136	7.47	0.015	0.99	80000.0
206	1501.47	8.716	228.551	7.49	0.015	0.99	60000.0
207	1493.668	8.639	227.869	7.44	0.015	0.99	50000.0
208	1498.116	8.677	228.378	7.516	0.014	0.99	60000.0
209	1506.431	8.725	229.606	7.501	0.015	0.99	90000.0
210	1494.25	8.653	227.365	7.462	0.015	0.99	80000.0
211	1501.21	8.747	228.91	7.557	0.015	0.989	80000.0
212	1494.867	8.688	228.705	7.494	0.015	0.99	60000.0
213	1493.294	8.716	227.869	7.507	0.015	0.99	60000.0
214	1495.994	8.705	228.819	7.518	0.015	0.989	80000.0
215	1500.135	8.728	228.342	7.515	0.015	0.989	140000.0
216	1503.59	8.769	229.04	7.53	0.015	0.99	80000.0
217	1502.321	8.683	228.659	7.485	0.015	0.99	180000.0
218	1501.547	8.716	228.747	7.481	0.015	0.99	90000.0
219	1501.502	8.735	228.608	7.516	0.015	0.99	60000.0
220	1497.358	8.723	227.511	7.512	0.015	0.99	120000.0
221	1497.446	8.695	228.291	7.494	0.015	0.99	50000.0
222	1490.893	8.631	226.994	7.429	0.015	0.99	140000.0
223	1494.277	8.703	227.53	7.501	0.015	0.99	90000.0
224	1492.509	8.741	226.685	7.543	0.016	0.989	60000.0
